Time Step,Import/Export_1,Import/Export_2,Import/Export_3
2161,-1000.0,-1000.0,-1000.0
2162,-1000.0,-1000.0,-999.9999999999995
2163,-1000.0,-1000.0,-1000.0
2164,-1000.0,-1000.0,-999.9999999999995
2165,-999.9999999999995,-1000.0,-1000.0
2166,-1000.0,-999.9999999999995,-1000.0
2167,-1000.0,-1000.0,-1000.0
2168,-1000.0,-1000.0,-1000.0
2169,-1000.0,-1000.0,-1000.0
2170,-1000.0,-1000.0,-1000.0
2171,-1000.0,-1000.0,-1000.0
2172,-893.419358760927,-999.9999999999995,-1000.0
2173,-606.1646173155068,-1000.0000000000005,-1000.0
2174,-813.7224127456202,-1000.0000000000005,-1000.0
2175,-1000.0,-1000.0,-1000.0
2176,-1000.0,-1000.0,-1000.0
2177,-1000.0,-1000.0000000000005,-1000.0
2178,-1000.0,-1000.0,-1000.0
2179,-1000.0,-1000.0,-1000.0
2180,-1000.0,-1000.0,-1000.0
2181,-1000.0,-1000.0,-1000.0
2182,-1000.0000000000005,-999.9999999999995,-862.9236019067102
2183,-1000.0,-1000.0,-615.0681926076331
2184,-1000.0,-1000.0,-742.4486283579972
2185,-1000.0,-1000.0,-800.3535662751447
2186,-1000.0,-999.9999999999995,-397.0021821223522
2187,-1000.0,-1000.0,-24.40712764789987
2188,-1000.0,-999.9999999999995,-181.57630087970028
2189,-1000.0,-999.9999999999995,-356.8247445003308
2190,-1000.0,-1000.0,-689.6041068735603
2191,-1000.0,-1000.0,-1000.0
2192,-1000.0,-1000.0000000000005,-1000.0
2193,-1000.0,-1000.0,-1000.0
2194,-1000.0,-1000.0,-1000.0
2195,-1000.0,-1000.0,-1000.0
2196,-1000.0,-1000.0,-1000.0
2197,-1000.0,-1000.0,-1000.0
2198,-1000.0,-1000.0,-1000.0
2199,-1000.0,-1000.0,-1000.0
2200,-1000.0,-1000.0,-1000.0
2201,-1000.0000000000005,-999.9999999999995,-1000.0
2202,-999.9999999999995,-1000.0,-1000.0
2203,-1000.0000000000005,-1000.0,-1000.0
2204,-999.9999999999995,-1000.0,-1000.0
2205,-1000.0,-1000.0,-1000.0
2206,-1000.0,-1000.0,-1000.0
2207,-1000.0,-1000.0,-1000.0
2208,-1000.0,-1000.0,-1000.0
2209,-1000.0,-1000.0,-1000.0
2210,-1000.0,-1000.0,-1000.0
2211,-1000.0,-1000.0,-1000.0
2212,-1000.0,-1000.0,-1000.0
2213,-1000.0,-1000.0,-398.69110454622114
2214,-1000.0,-1000.0,1000.0
2215,-1000.0,-1000.0,1000.0
2216,-1000.0,-1000.0,1000.0
2217,-999.9999999999995,-1000.0,1000.0
2218,-1000.0,-1000.0,896.8725873855565
2219,-1000.0,-1000.0,882.1809023296191
2220,-1000.0,-1000.0,872.0625183974907
2221,-1000.0,-1000.0,899.0038422380312
2222,-1000.0,-1000.0,872.9946276898718
2223,-1000.0,-1000.0,1000.0
2224,-1000.0,-1000.0,1000.0
2225,-1000.0,-1000.0,1000.0
2226,-1000.0,-1000.0,1000.0
2227,-1000.0,-1000.0,1000.0
2228,-1000.0,-1000.0,1000.0
2229,-1000.0,-1000.0,1000.0
2230,-1000.0,-1000.0,1000.0
