Time Step,1,2,3,Import/Export_1,Import/Export_2,Import/Export_3
2161,121906.79220117493,21283.479070338315,1756.8628224799145,217666.3594268023,146239.88720599018,146069.00823391197
2162,118114.63066523598,25753.539900228163,2559.567228291905,226302.6059119708,144045.16763077702,143243.1888878549
2163,114159.38772130676,27939.559125164258,2786.578402206027,218074.2987392116,140143.06075852652,140994.05728560805
2164,111279.99263621026,32517.86838126225,2233.410160373492,209729.06452120753,137874.57550825836,140983.5146056157
2165,119984.23041512375,44017.68546542412,2627.7698997839443,224933.25216097062,147123.93738821778,150419.84004732926
2166,139418.977333978,66433.87140951269,3712.762795113028,264308.7434992167,166594.1614535553,170776.26902845653
2167,190356.31676505908,66049.28620956322,3111.5901764525743,282314.945953676,191915.62930709627,198531.5877599587
2168,205824.5980404506,45657.96678832548,3860.419051566825,240646.23812185624,215551.5028459477,216654.39623719512
2169,179858.38600342599,17700.0,0.0,119531.88324293819,216324.63834800117,218185.81321007328
2170,163817.5230813629,14908.283056176228,0.0,42680.407790447534,201537.87206818178,208177.5772551345
2171,141085.33988483678,9099.968041218614,0.0,12508.151606155132,177439.30644198225,190084.9556232544
2172,114455.23510487886,1159.0767621956365,0.0,0.0,167334.20274262832,178659.74255721868
2173,86222.9549527463,0.0,0.0,0.0,154697.1471974936,164755.887750234
2174,89766.39086403132,0.0,0.0,0.0,153928.1676470673,165388.47474756208
2175,99485.78308042072,3156.254873785071,0.0,15034.851953148383,149861.4418382278,163236.89776824723
2176,94986.11818289531,17700.0,347.2440372465234,110172.03175839492,153842.88408798148,166097.0908704592
2177,140032.86424450434,17700.0,15381.06698971448,273220.2858650753,174383.21313550632,183782.30466891738
2178,189283.32213797787,63746.730953569946,14480.860150026485,364246.2247467437,193348.03837714164,197180.4290496268
2179,209606.28582640976,86548.89791393864,15085.394131066047,393122.308101847,201828.94808083368,201680.4170600906
2180,207821.99530804288,92483.219559945,16074.0,413781.30217142624,202676.9822467658,202172.84109123785
2181,174064.0,98653.326130095,16074.0,398871.66548760724,180490.4505055978,184936.51130936053
2182,153504.38858276536,80533.59581839765,16074.0,357469.4384456424,161630.97438777468,165600.0
2183,114416.0,71306.62481937649,16074.0,306432.5091326188,138871.95115520182,148498.98820572597
2184,112285.00385081435,58881.718887785355,16074.0,268945.8826183396,126124.21337535468,124139.47624480477
2185,109453.7947872874,57641.284497232264,16074.0,259630.6885799218,123093.0793290754,121853.38239567578
