Time Step,Import/Export_1,Import/Export_2,Import/Export_3
1,-241.4524036026396,-1000.0,57.743235753009685
2,93.7213058214902,-1000.0,187.14435020042401
3,160.0108058795804,-999.9999999999998,304.21078099948954
4,290.5189406643599,-1000.0000000000002,701.1695016241356
5,460.2374482598402,-1000.0,1000.0000000000005
6,618.3340654106605,-1000.0,127.14226758933864
7,439.94680139677985,-1000.0,34.960316603218416
8,228.8387463850545,-1000.0,278.753120712508
9,259.5628016364594,-1000.0,576.0618527431548
10,266.67001501394043,-1000.0,-1000.0
11,-49.49458796691761,-1000.0000000000002,-1000.0
12,-340.8637316034301,-999.9999999999995,-1000.0
13,-503.6866025564368,-1000.0,-999.9999999999995
14,-802.5918277944429,-1000.0,-1000.0
15,-1000.0,-1000.0,-567.6548787209595
16,-1000.0,-999.9999999999995,-899.7785046703493
17,-1000.0,-1000.0,-1000.0
18,-1000.0,-999.9999999999995,-1000.0
19,-1000.0,-1000.0,-808.4959852811608
20,-1000.0,-1000.0,-1000.0
21,-1000.0,-999.9999999999995,-1000.0000000000005
22,-1000.0,-1000.0,-1000.0
23,-1000.0,-1000.0,-1000.0
24,-1000.0,-1000.0,-1000.0
25,-1000.0,-1000.0,-1000.0
26,-1000.0,-1000.0,-1000.0
27,-1000.0,-1000.0,-1000.0
28,-1000.0,-1000.0,-1000.0
29,-1000.0,-1000.0,-999.9999999999995
30,-1000.0,-1000.0000000000005,-1000.0
31,-1000.0,-1000.0,-1000.0
32,-1000.0,-1000.0,-1000.0
33,-1000.0,-1000.0,-1000.0
34,-1000.0,-1000.0,-1000.0
35,-1000.0000000000009,-1000.0,-1000.0
36,-1000.0,-1000.0,-1000.0
37,-999.9999999999995,-1000.0,-1000.0
38,-1000.0,-1000.0,-1000.0
39,-1000.0,-1000.0,-1000.0
40,-999.9999999999991,-1000.0,-1000.0
41,-1000.0,-1000.0,-1000.0
42,-999.9999999999991,-1000.0,-1000.0
43,-1000.0,-1000.0,-1000.0
44,-1000.0,-1000.0,-1000.0
45,-1000.0,-1000.0,-1000.0
46,-1000.0,-1000.0,-1000.0
47,-1000.0,-1000.0,-1000.0
48,-1000.0,-1000.0000000000005,-1000.0
49,-1000.0,-1000.0,-1000.0
50,-1000.0,-1000.0,-1000.0
51,-1000.0,-1000.0,-1000.0
52,-1000.0,-1000.0,-1000.0
53,-1000.0,-999.9999999999995,-1000.0
54,-1000.0,-931.0263353407645,-1000.0
55,-1000.0,-1000.0,-1000.0
56,-1000.0,-1000.0,-1000.0
57,-999.9999999999991,-1000.0,-1000.0
58,-1000.0,-1000.0,-1000.0
59,-1000.0,-1000.0,-1000.0
60,-1000.0,-1000.0,-1000.0
61,-1000.0000000000005,-1000.0,-1000.0
62,-1000.0,-1000.0,-1000.0
63,-1000.0,-1000.0,-1000.0
64,-1000.0,-1000.0,-1000.0
65,-1000.0,-1000.0,-1000.0
66,-1000.0,-1000.0,-1000.0
67,-1000.0,-1000.0,-1000.0
68,-1000.0,-1000.0,-1000.0
69,-1000.0,-1000.0,-1000.0
70,-1000.0,-1000.0,-1000.0
71,-1000.0,-745.0760130144799,-883.4853525842864
72,-1000.0,-1000.0,-956.4662304909061
