,Objective Value
1,667165.9038260605
2,668270.293040229
3,652806.8498461895
4,643673.5994642518
5,695112.5535599687
6,810531.8990425194
7,935192.9505756237
8,933876.4343477591
9,754298.4681574443
10,638705.9507767247
11,534259.4317687084
12,461087.1113271829
13,404437.75824157504
14,409558.3078379148
15,430987.6579836618
16,548558.9169628648
17,812163.6160973778
18,1028134.0615160959
19,1111113.2268123443
20,1137153.0408718134
21,1058999.3615682106
22,934798.2203878594
23,795595.1710217015
24,706117.5881919158
25,687395.5790064976
26,702742.0196043712
27,763354.074335157
28,801725.9791666582
29,816604.5383032104
30,852627.5089227075
31,901475.3371339497
32,879034.1794369115
33,777315.2843914458
34,718095.6553330222
35,664275.0575411856
36,590667.511516095
37,498153.8148780761
38,495724.3678800496
39,534843.8921539198
40,672045.16188016
41,972982.8708220265
42,1281896.623905178
43,1488197.823133051
44,1531848.4418063727
45,1502057.1284093119
46,1345005.4994521777
47,1252212.288705308
48,1191334.0947198938
49,1179035.4356073954
50,1211893.1467714119
51,1313286.0733700695
52,1531781.753771476
53,1898536.0286733296
54,2157231.046140492
55,2226780.095778371
56,2085117.732757986
57,1933499.2362183568
58,1891958.169893184
59,1851125.2176091685
60,1805947.057805833
61,1769475.4074487225
62,1812460.581737921
63,1884455.7219359272
64,1988196.2389271024
65,2179507.1068582362
66,2283514.1045116307
67,2368607.085781926
68,2293320.52857894
69,2109756.3116872995
70,1903121.2269814268
71,1779433.7886861844
72,1707382.4057628715
73,1698838.5996643328
74,1740764.4565975643
75,1810927.1268012088
76,1982486.4126023203
77,2313942.4220834533
78,2478470.1037317333
79,2518194.6556722117
80,2382113.564140884
81,2243222.8948282828
82,2084752.4379672701
83,1926108.4495965
84,1810856.2344017045
85,1728298.8139115407
86,1701949.8047558817
87,1656378.96943101
88,1679036.3935871362
89,1820636.2989615675
90,2010610.9613879751
91,2075376.5688916265
92,1995809.8233650685
93,1785509.4008914495
94,1570486.2246345412
95,1450108.6962431758
96,1421787.0623913002
97,1401397.7953398852
98,1456010.6224417845
99,1593761.6209749053
100,1751912.9854121837
101,2073182.5353436489
102,2265210.088672029
103,2313860.784258526
104,2101838.4665348716
105,1899634.8520413793
106,1812620.825671203
107,1724477.1262584287
108,1704356.9396957275
109,1714773.9379946606
110,1754892.7644779254
111,1792227.7028175942
