,Objective Value
1,667165.9405757982
2,668270.3346668762
3,652806.8777280817
4,643673.636812504
5,695112.5851513094
6,810531.927918396
7,935192.9790756238
8,933876.4624777577
9,754298.4478247121
10,638705.9507767247
11,534259.4229187084
12,461087.13329299923
13,404437.79908386123
14,409558.30783791473
15,430987.6579836618
16,548558.9169628641
17,812163.6057979933
18,1028134.0900160957
19,1111113.2594472978
20,1137153.0735067674
21,1058999.390068211
22,934798.2203878594
23,795595.1721068441
24,706117.5871636388
25,687395.5800347747
26,702742.0210427449
27,763354.0739606225
28,801725.9787921238
29,816604.5383032104
30,852627.5089227075
31,901475.3371339497
32,879034.1794369115
33,777315.2843914458
34,718095.6553330221
35,664275.0575411847
36,590667.511516095
37,498153.8148780761
38,502219.6617710051
39,534843.8921539197
40,672045.16188016
41,972982.8708220265
42,1281896.6224351781
43,1488197.823133051
44,1531848.4724963726
45,1502057.1284093119
46,1345005.4994521774
47,1252212.288705308
48,1191334.0987676326
49,1179035.4372596873
50,1211893.1484237039
51,1313286.0733700695
52,1531781.7537714757
53,1898536.0286733299
54,2157231.0464601363
55,2226780.066218371
56,2085117.721841882
57,1933499.235538357
58,1891958.169163184
59,1851125.2168791688
60,1805947.057805833
61,1769475.4074487227
62,1812460.581737921
63,1884455.7219359272
64,1988196.2389271024
65,2179507.077468237
66,2283514.07512163
67,2368607.056391926
68,2293320.4991889396
69,2109756.3116872995
70,1903121.2269814268
71,1779433.790318698
72,1707382.4064928715
73,1698838.5996643328
74,1740764.4565975643
75,1810927.1268012088
76,1982486.4126023203
77,2313942.431888307
78,2478470.0824415423
79,2518194.6752801705
80,2382113.542850693
81,2243222.865438283
82,2084752.4379672704
83,1926108.4495965
84,1810856.2344017047
85,1728298.8139115407
86,1701949.8048199168
87,1656378.96943101
88,1679036.394459301
89,1820636.2989615677
90,2010610.9613879751
91,2075376.5982816264
92,1995809.8245055915
93,1785509.4008914495
94,1570486.224571723
95,1450108.6950974732
96,1421787.0623913002
97,1401397.7953398852
98,1456010.6224417845
99,1593761.6209749053
100,1751912.9854121837
101,2073182.5353436489
102,2265210.059282029
103,2313860.762968335
104,2101838.4670448713
105,1899634.8520413793
106,1812620.825671203
107,1724477.1262584287
108,1704356.9396957275
109,1714773.9379946606
110,1754892.7644779254
111,1792227.7044501076
112,1853977.5293887903
113,2049634.308806687
114,2230705.1113188765
115,2285032.1043688366
116,2139672.2873123176
117,1968416.0545007489
118,1772077.9175803468
119,1614175.2469684274
120,1560453.8996759467
121,1542608.2770783545
122,1519664.50043283
123,1554915.05501478
124,1640659.3636599295
125,1913615.005389936
126,2091162.7215213438
127,2145056.988507464
128,2037072.5744688078
129,1954575.891188618
130,1942353.7126326603
131,1860784.1613692015
132,1772568.4089595042
133,1716238.3204466107
134,1669176.9787565095
135,1612781.2083882187
136,1627437.3027009142
137,1823974.2880503915
138,1992570.2058014895
139,2042726.5206949702
140,1973492.523911372
141,1854887.4085599117
142,1657021.9046777105
143,1510851.7169845782
144,1475597.9648461184
145,1429860.894940249
146,1411904.2853950658
147,1380653.6716544155
148,1269929.7989522645
149,1128319.6049770778
150,1154800.0607537373
151,1157842.3842878565
152,1027078.7151897777
153,877250.1342278046
154,797483.0760622259
155,706014.6305000328
156,567439.5560572902
157,518059.1070007905
158,475521.1376055591
159,508174.0287070515
160,672190.3821251864
161,973780.1806938805
162,1229647.3186442961
163,1364632.2219989314
164,1360881.9590479147
165,1299566.5728552737
166,1187000.6821646697
167,1047989.1088060759
168,1001069.3767171274
169,987843.8912256019
170,988673.4194936133
171,1039728.9836452116
172,1073691.8770324544
173,1078687.9212202684
174,1157331.453158773
175,1309609.957839011
176,1237322.68360535
177,1098010.0959796936
178,1025058.6911364653
179,975886.9649642499
180,903799.1900940478
181,884052.9972337915
182,887221.8735352609
183,902934.1100830238
184,996932.531926355
185,1258047.1174097178
186,1508469.2371556484
187,1581918.9403592586
188,1564002.5216277712
189,1497986.3315712083
190,1352428.6214784102
191,1195249.523276357
192,1130732.101766509
193,1111838.427148337
194,1100341.477185792
195,1113942.9331491087
196,1112938.1090221482
197,1060531.4584017128
198,1051333.5114987171
199,1074801.033543441
200,917576.901957284
201,761437.1342172888
202,702089.3814618741
203,643509.6523660256
204,510184.6188642589
205,442496.5697184348
206,412654.9265668665
207,482837.59234091855
208,721449.9453955328
209,1103798.3550827093
210,1414812.3878172077
211,1534891.4478318172
212,1560058.124260794
213,1494269.5941967233
214,1366958.606281382
215,1183098.4392717707
216,1089156.6626335238
217,1015676.15793698
218,988399.9914773273
219,1003918.9450861161
220,1018203.9567030943
221,1010530.015910117
222,1018313.5600617587
223,1063269.6341526823
224,1055086.3941081355
225,1002691.5391512668
226,1009672.0022448319
227,957775.4301571817
228,846819.0418918937
229,790714.6288542802
230,804327.4457105349
231,864025.3546017623
232,1039751.0925261586
233,1324577.093505738
234,1514058.001506576
235,1568759.0630013212
236,1596526.327493241
237,1498912.803780754
238,1293336.518600016
239,1065606.8123133231
240,963926.401426152
241,922128.9686311086
242,924816.2536752453
243,946556.8137416141
244,1057413.1613588016
245,1406957.1425428144
246,1649483.375194763
247,1839503.1684614478
248,1829025.105321416
249,1669974.0373225852
250,1499757.0780530672
251,1316841.327107589
252,1286828.0017273691
253,1276943.5131559828
254,1314333.8973501974
255,1334310.0514059367
256,1424956.3149105827
257,1607061.2240541123
258,1784907.3911851172
259,1876366.7706213098
260,1825224.9055177863
261,1670830.4762965427
262,1488288.0764111225
263,1375540.9487162929
264,1302967.643216784
265,1280680.2242053172
266,1264965.0344436397
267,1346242.9277993692
268,1488510.8993167067
269,1796818.627929612
270,1978992.655222589
271,2004478.2980321061
272,1802216.9835209758
273,1580578.9198126488
274,1447640.9600889361
275,1279777.9076873972
276,1232230.2898906807
277,1128752.2486276452
278,1097482.041039956
279,1134925.1665349675
280,1305651.6130741625
281,1652181.7112133713
282,1870662.0290364854
283,1907368.4417328911
284,1827271.9149224008
285,1638232.1958768726
286,1358442.6021661707
287,1166284.2177569075
288,1099917.3937175036
289,1090348.5395116087
290,1156577.5595353125
291,1243224.9396979767
292,1364033.102508818
293,1688717.7346579263
294,1949295.201824868
295,1987502.9782698033
296,1798158.8883233042
297,1679668.2077046554
298,1611575.2642496347
299,1479266.7718028498
300,1419354.8509405327
301,1357489.7294614995
302,1342699.833679713
303,1381708.1183998017
304,1538782.1698707577
305,1788115.33459685
306,2056829.4816478787
307,2198792.2372659687
308,2161071.3245629286
309,2022037.9606417275
310,1799474.8246340617
311,1647252.5932750881
312,1586068.2815891553
313,1565341.2504013623
314,1609516.5326426346
315,1623837.072895765
316,1723963.2319568302
317,1969168.310702685
318,2165207.576990388
319,2164569.925369645
320,1948097.0411630196
321,1681424.2626401635
322,1489496.3958064024
323,1358136.381877852
324,1240830.2696915516
325,1140153.8970353028
326,1093421.5799541683
327,1120384.8322597141
328,1320999.0121456976
329,1650173.6171226548
330,1892644.9505416895
331,1986910.780336596
332,1978952.1572458642
333,1801648.6090701327
334,1576480.7029487481
335,1435789.620063448
336,1352448.7549979133
337,1348102.3831565457
338,1361885.4531258524
339,1368729.1274708007
340,1369807.7731141124
341,1407434.5094028953
342,1463763.6154524912
343,1511040.4231676834
344,1389457.978181363
345,1156931.963475198
346,998039.1107891706
347,866710.6908835468
348,791268.1957537441
349,735625.8677334874
350,716171.303754908
351,791323.4653691866
352,1000135.6472383625
353,1295679.7322735963
354,1483093.8717564647
355,1562627.1309613895
356,1587025.1688456351
357,1503239.4214720903
358,1340025.3744372334
359,1174386.9238641402
