,Objective Value
1,654922.3889606975
2,660018.7002243588
3,644096.9420320233
4,634618.4258129277
5,689106.7153768493
6,811244.7855198322
7,932279.3561718059
8,928195.121085342
9,751600.7208044387
10,631121.663251303
11,530217.7215974472
12,461608.25716692145
13,405675.98990047385
14,409083.03325866075
15,430775.22951382917
16,543145.3689369775
17,804499.7349037179
18,1022285.6054150866
19,1107872.2511141857
20,1135010.3403774176
21,1053089.9534326605
22,934812.3972345802
23,795600.0733129231
24,706450.2949770987
25,687746.2295891927
26,703351.1912873539
27,764010.7809487422
28,802160.207953335
29,816781.966168773
30,852632.7191576627
31,901475.3371339497
32,879034.1794369115
33,777315.2843914458
34,707608.683886885
35,659696.3589428448
36,592331.8995102054
37,500981.524903145
38,495372.5735895747
39,532729.8157551821
40,676276.2359841417
41,970252.9409000564
42,1281805.1404746708
43,1487739.9327021085
44,1530826.6145939704
45,1502003.8062138478
46,1344715.6462948106
47,1251487.8925925433
48,1190635.8141908692
49,1178060.3021785624
50,1210966.4591430724
51,1312827.0544711559
52,1531664.9767213557
53,1893578.7767850375
54,2155779.394912245
55,2224740.3864075867
56,2088112.497587729
57,1935675.0947739226
58,1893949.815499217
59,1852176.2574633914
60,1806316.0181007124
61,1769805.375110073
62,1815463.459582894
63,1886327.3376373185
64,1991038.6701057293
65,2184324.6350028683
66,2284867.176741957
67,2369102.824734127
68,2293978.173714075
69,2110180.496425245
70,1903114.6273801418
71,1779234.7141964773
72,1706929.5186316904
73,1698450.457781208
74,1740513.0020782654
75,1808721.7464970206
76,1979401.8140006976
77,2311324.375277711
78,2479072.8319368144
79,2518994.73541016
80,2384472.121012324
81,2248357.8017354426
82,2086890.6006320654
83,1926238.7754334884
84,1810656.432057801
85,1728002.3188023877
86,1701542.0017744768
87,1656271.1499921358
88,1678873.3604101285
89,1820263.0470099738
90,2010704.5071085833
91,2077232.637509073
92,1995899.234036654
93,1785600.7009469154
94,1570446.046857016
95,1450049.003524771
96,1421552.2303847438
97,1401106.6423916942
98,1455740.1956177542
99,1593693.6686223277
100,1751834.8868883762
101,2067407.0706141898
102,2265839.060425329
103,2319301.4898854704
104,2102485.984864896
105,1899362.0523784012
106,1813220.1756469288
