,Objective Value
1,685747.9988118396
2,689796.5317368736
3,668924.6745920597
4,659464.525925598
5,710034.9859550489
6,816936.7694000572
7,951903.7841942899
8,941825.4018493736
9,754897.8426974032
10,640742.4744295585
11,528864.6371062025
12,464983.9858027993
13,405064.3231146208
14,409558.30783791473
15,430987.66397968115
16,542043.8239679124
17,826173.3271472967
18,1050045.3450413847
19,1130377.0580411926
20,1155960.8352698078
21,1072500.5684836246
22,934798.2203878594
23,795136.5875223991
24,705751.6884880888
25,686890.4928309801
26,702366.0624980343
27,763358.0559193323
28,801723.5910343458
29,816604.5383032104
30,852627.5089227075
31,901475.3371339497
32,879034.1794369115
33,777315.2843914458
34,708287.0578970279
35,654238.897402538
36,574915.1651914238
37,486494.99142180436
38,483220.11697600473
39,519266.3202695859
40,651385.0931591319
41,970252.9409272219
42,1282008.6375071616
43,1490752.1221779496
44,1533897.1542215294
45,1504917.3842569427
46,1347379.0666258975
47,1253830.3953993134
48,1192825.1575175526
49,1180182.0846043366
50,1212896.845073634
51,1314137.4204748597
52,1531860.2951363816
53,1886909.3413632563
54,2139908.922810658
55,2210751.6086315126
56,2078991.7330344445
57,1933414.5584618652
58,1891718.8209795689
59,1850971.2250673228
60,1805996.919493508
61,1769818.587745815
62,1814996.5560436996
63,1886443.1455361769
64,1989363.7446344085
65,2175114.247290154
66,2280140.7370627066
67,2367549.9455149784
68,2293949.621491569
69,2114108.901339624
70,1904840.192861627
71,1779862.3101297955
72,1707430.4370825568
73,1698879.3254680196
74,1740806.080926592
75,1809169.4523917753
76,1971854.382859914
77,2295828.8401717246
78,2476540.947519319
79,2518858.1984198294
80,2382917.9269083156
81,2236988.7466129754
82,2085468.4687769203
83,1926542.6188327703
84,1811036.906037294
85,1728310.5997632048
86,1701951.9070943682
87,1656560.3697078328
88,1679070.4668547548
89,1820589.0320643876
90,2012925.2733305348
91,2073850.3668396582
92,1998088.1199171366
93,1786234.3875237745
94,1570927.5710185263
95,1450305.233429894
96,1421756.047072541
97,1401379.1041751052
98,1455970.2774147664
99,1593715.7866467182
100,1751812.2561546206
101,2058299.8205428836
102,2260483.474993012
103,2319642.948895994
104,2101897.7880545915
105,1898993.2469936903
106,1816980.8950894491
107,1730289.0073345345
108,1709529.9381092577
109,1718657.0611726732
110,1757730.1208961136
111,1793095.3834316682
112,1854476.0688880521
113,2050859.5430945705
114,2231533.3323580422
115,2281385.198215827
116,2143754.538129751
117,1970090.817396502
118,1772687.2671156453
119,1614535.994547313
120,1560473.3124491563
121,1542632.442720324
122,1519693.7951148774
123,1554945.7643482469
124,1638439.4423929388
125,1897890.7324577465
126,2075281.4442414474
127,2139568.696771085
128,2032464.7614638
129,1952405.650264966
130,1941968.0975820688
131,1864538.4665934215
132,1776275.6045222161
133,1718640.3929307815
134,1669510.8781973165
135,1613326.0517431549
136,1627748.7244093365
137,1825831.0892809075
138,1995170.342282561
139,2038455.0425276302
140,1974494.485487927
141,1856858.459451252
142,1657573.730176811
143,1511009.6962077697
144,1475596.2925133477
145,1429858.7057410884
146,1411902.6750236135
147,1380653.6716544158
148,1269929.7989602315
149,1128352.7758653816
150,1154800.060646303
151,1157939.4892233498
152,1029037.7806797188
153,881834.6290815338
154,793875.8844848289
155,693265.011200823
156,555740.7522056773
157,501407.9511491939
158,452982.0751760822
159,507927.21237544715
160,672190.3821251864
161,975653.9348674646
162,1229722.4415916454
163,1364370.1363654018
164,1361136.4157065472
165,1299928.0494126575
166,1187296.4977535978
167,1048364.3222520022
168,1001146.9063297526
169,988029.7423147021
170,988907.406214643
171,1039983.097491101
172,1073849.8795319346
173,1078786.9469785274
174,1157331.453158773
175,1309609.9578164804
176,1237616.7937692294
177,1101750.581137546
178,1030706.9463846916
179,974573.3430045943
180,902296.7743868794
181,887668.8435731446
182,892081.4252283047
183,908025.347734642
184,1000697.722844266
185,1259159.0028440054
186,1508534.7179272664
187,1579935.618371745
188,1563942.1603231728
189,1497963.3328482083
190,1352395.5749704316
191,1195294.8960645837
192,1130731.853070105
193,1111838.427150715
194,1100341.4771857923
195,1113942.9331238372
196,1112938.1090258893
197,1060280.0822585325
198,1051166.1248804547
199,1075460.7709613345
200,920498.2821416409
201,764222.5213799616
202,702089.3814618741
203,643499.5993301175
204,510184.6188642589
205,436709.6352677695
206,410859.9766256938
207,482760.6398759277
208,713420.5619851096
209,1106678.616828215
210,1414989.2408622121
211,1534891.447829939
212,1560058.1242607941
213,1494269.5939279501
214,1366987.5535995
215,1183040.5342377864
216,1089080.5746534471
217,1015681.9829881011
218,988468.7490322735
219,1003988.8664647385
220,1018274.0519964406
221,1010597.8462359707
222,1018381.3676781587
223,1063318.6626776038
224,1058025.26315803
225,1007531.0897031919
226,1008923.2534651646
227,957648.2313271504
228,846802.2571696247
229,790696.2285981115
230,804315.0212755064
231,864025.3546017623
232,1045193.5944063165
233,1326203.3165650107
234,1514057.4819685987
235,1568723.9576264962
236,1596474.173924649
237,1498910.6102068597
238,1293337.8639494516
239,1065526.543149037
240,963990.4134971543
241,922176.20654651
242,924871.7891094915
243,946623.5921253902
244,1057453.0679879824
245,1406957.1425418775
246,1649481.9371305823
247,1839516.337519176
248,1829005.722739941
249,1669895.0003703684
250,1499762.5138425042
251,1316878.3505434175
252,1285312.6129476812
253,1279695.8810349521
254,1313419.9462700717
255,1334641.1536314976
256,1424874.9384934308
257,1606514.1667840069
258,1788274.226167551
259,1880179.4585247175
260,1830620.9609038397
261,1675306.7262621785
262,1491058.033713596
263,1377718.1448624872
264,1305410.5018173945
265,1282937.4285885328
266,1266976.7943623676
267,1347606.0455407347
268,1488880.5315193217
269,1789113.7366281913
270,1968351.482876187
271,1999561.1269446632
272,1802264.0454799712
