,Objective Value
1,676665.477805843
2,680351.0594053584
3,664446.9907662158
4,656913.3346257132
5,701064.3275379139
6,816730.8198491728
7,950645.7150223481
8,941825.9605712319
9,755027.5985971529
10,640864.9610190261
11,534993.6763810635
12,474668.70537868096
13,415351.2956072885
14,394105.80687809136
15,424879.1293880867
16,550952.443396774
17,825247.4959710531
18,1049884.300528063
19,1130138.793417796
20,1155714.3598689865
21,1071456.1362109652
22,934798.2203878594
23,795096.5435212028
24,705439.4608645008
25,686682.3712666731
26,702381.1702530569
27,763321.1168920385
28,801723.5908777954
29,816604.5383032104
30,852627.5089227075
31,901475.3371339497
32,879034.1794369115
33,777315.2843914458
34,707949.0868189924
35,659921.4675531712
36,580263.9284400479
37,493399.9629737677
38,489880.9765022578
39,524472.587728849
40,655739.5763470915
41,970253.3785509011
42,1281951.9841322221
43,1490464.798506087
44,1533739.9092373175
45,1504784.983504681
46,1347250.3071423105
47,1253710.456600608
48,1192723.382731161
49,1180112.8088839427
50,1212889.567600117
51,1314137.4204748597
52,1531860.2951363812
53,1886757.6783891122
54,2139534.492442292
55,2210249.3702448946
56,2078963.4721104398
57,1933394.4408871525
58,1891700.2697509334
59,1850955.4384497257
60,1805984.1524365298
61,1769810.6747292501
62,1814881.7070019664
63,1886279.0019687163
64,1989139.6586223913
65,2174724.3832824
66,2279803.6548023205
67,2367391.2143521444
68,2293673.347556379
69,2113802.2760018916
70,1904725.6074614786
71,1779852.620500418
72,1707430.4370861356
73,1698879.325465023
74,1740806.080927794
75,1809133.6485677816
76,1971678.8242053357
77,2295492.338826919
78,2476418.1700155893
79,2518761.380900395
80,2382780.340383227
81,2236663.803928497
82,2085292.8576456395
83,1926542.0326965759
84,1810933.258207326
85,1728139.7737356108
86,1701682.6802040986
87,1656353.5334468854
88,1678938.7927255547
89,1820332.1541715905
90,2012919.3468569424
91,2073714.6885617252
92,1997989.6499118647
93,1786055.7665748924
94,1570813.134941345
95,1450291.2979060374
96,1421756.0470725412
97,1401379.1041747502
98,1455970.2774147664
99,1593715.7182084948
100,1751811.150160648
101,2058068.145279588
102,2260374.5242220256
103,2319560.696957294
104,2101878.758308131
105,1899269.7134180162
106,1817319.951987768
107,1730678.3784033367
108,1709969.4296675709
109,1719096.4391626841
110,1758108.4877098547
111,1792024.8065950624
112,1854354.6067945145
113,2050811.7368707932
114,2231212.275582925
115,2281089.635934764
116,2143491.412169819
117,1969984.4400137796
118,1772687.0635777037
119,1614535.994547313
120,1560473.3124904472
121,1542632.442720324
122,1519693.7951527247
123,1554945.7643482466
124,1638397.8733521376
125,1897604.0844773164
126,2074919.1200928874
127,2139271.5392577834
128,2032446.6576910485
129,1952388.9817467218
