,Objective Value
1,496780.0142468587
2,429714.16977567854
3,396659.7578144135
4,365750.43704738363
5,322946.6060136779
6,262310.6188656332
7,251215.2630166529
8,263948.57948079176
9,302052.7941577873
10,265553.7225638448
11,278047.7015513395
12,292534.33121324517
13,311862.5178923825
14,384000.29993748973
15,469327.52614292706
16,645491.4333831972
17,756564.5485787245
18,710686.7995826637
19,589531.8376321613
20,479195.7689246164
21,456272.2121200216
22,436501.89089541783
23,313566.8007746261
24,247660.49736548765
25,217292.1895931505
26,245609.46736563975
27,282639.76360196224
28,336670.3389115056
29,454134.90124676505
30,719772.40417335
31,966103.1800350139
32,1183936.8629513578
33,1288783.1172536414
34,1297427.4639972092
35,1266760.3009269324
36,1211870.922518896
37,1166568.2542440353
38,1159536.8302275813
39,1259771.9012911785
40,1415453.459150747
41,1584437.358687578
42,1610886.7204337278
43,1529830.2211609283
44,1435793.1828211972
45,1397272.1665832824
46,1291807.5108609628
47,1049997.521663247
48,915588.292705168
49,821999.6049694882
50,804207.3149787124
51,812358.3591723988
52,839676.1120327375
53,871103.5729931492
54,1064893.1789224462
55,1239501.6776326792
56,1354290.7140740696
57,1347640.6743090344
58,1386807.4424408784
59,1436345.3784939386
60,1423978.6846487145
61,1418793.8144345267
62,1448051.1910876497
63,1557513.8957868316
64,1661988.149747516
65,1757233.2309062616
66,1673426.4600751398
67,1501538.945062422
68,1344486.7331660416
69,1240789.7639272832
70,1110011.2657701448
71,867196.9338918519
72,702827.1305437671
73,620558.2813083634
74,590271.5895017617
75,606364.820197586
76,629516.1155454897
77,706884.372424016
78,909243.1550232285
79,1187330.0174637947
80,1366281.69239278
81,1339232.0215959025
82,1204153.9978765114
83,1129392.05163074
84,1080178.4509320299
85,1116483.0520724913
86,1161877.142910612
87,1326196.5495877995
88,1514446.5604596417
89,1689373.934101863
90,1723297.4300474883
91,1623542.010556162
92,1506231.3661449114
93,1437988.6907654374
94,1320999.55474492
95,1056912.457735152
96,899830.5308864469
97,807573.3415568816
98,776998.7540122729
99,772900.8969046385
100,798166.280557942
101,829001.3851707533
102,1064550.5796173234
103,1334617.3638245394
104,1509937.4260469854
105,1457482.239347466
106,1357306.8822085788
107,1323745.0839676566
108,1302250.9419476176
109,1347836.8589722614
110,1413038.4915392483
111,1577286.408015834
112,1863938.513258118
113,2181267.7283680052
114,2218324.276211664
115,2121069.237841233
116,2012984.107355344
117,1901809.323534317
118,1799754.6279940691
119,1572363.908561163
120,1343880.3151928547
121,1167462.529339583
122,1098998.4191939433
123,1102269.7776091758
124,1128171.6718323706
125,1199471.2205767978
126,1502292.0228780278
127,1803128.2434598268
128,1966529.7058834492
129,1933339.3126524892
130,1814687.8471134873
131,1784236.8944399355
132,1752529.8272414
133,1742941.7024186729
134,1785966.45404054
135,1961145.9859453074
136,2119105.5836353027
137,2342180.7244357825
138,2293335.9510910637
139,2168768.9785727914
140,2020457.4566463833
141,1952752.1051370967
142,1786523.1682256793
143,1548327.002794489
144,1334776.7729680075
145,1233340.3926228352
146,1166510.938357653
147,1169411.775602589
148,1156043.8530257044
149,1114398.4132095443
150,1099484.2192661935
151,1187089.6266389708
152,1384886.821118034
153,1479431.7018861403
154,1398379.901869771
155,1387874.2492177116
156,1341366.6686814707
157,1380378.22072025
158,1419667.7732669278
159,1540111.7884580197
160,1666101.3796863772
161,1820308.9926426536
162,1799218.7607539226
163,1713584.3810937912
164,1546602.581474877
165,1416078.409253617
166,1336823.6774580907
167,1163893.1016131374
168,979272.0264674848
169,866045.0523226457
170,801980.7449181981
171,746145.1033195208
172,750450.4635918268
173,728331.9289790372
174,662033.9007897507
175,668692.4568482244
176,733047.1744665982
177,858160.3952400727
178,959625.4801154353
179,1057934.6246778492
180,1108176.2373935438
181,1065262.6137567498
182,1046948.6479282932
183,1062207.2864427012
184,1159234.3248074409
185,1442797.4021854214
186,1495439.3876641563
187,1465447.584400103
188,1337994.6628364918
189,1283530.9303616097
190,1229336.3903697534
191,1055483.734383106
192,927292.3010959367
193,819845.6823241084
194,788568.2222637857
195,801025.5383094494
196,810871.5164342738
197,917627.9674976086
198,1343686.505359411
199,1603602.100727739
200,1698128.1187009362
201,1655491.557892293
202,1631059.0092501
203,1649822.359727427
204,1598865.7584121863
205,1593359.1951616167
206,1573520.410441742
207,1610918.0836380818
208,1640948.8984672544
209,1755593.1769833975
210,1737745.5057959363
211,1655468.805809776
212,1522571.544385649
213,1403569.2415236216
214,1211553.953581597
215,958196.202999002
216,763332.5306614055
217,688690.2333338625
218,678389.920650647
219,708038.6499453157
220,795220.2427672738
221,953107.3283148266
222,1400106.3848490275
223,1694583.0490632353
224,1800223.0375499642
225,1767013.415896562
226,1757628.586394701
227,1708050.370826322
228,1650466.7038545005
229,1643472.5293508545
230,1653315.8750177121
231,1674106.4017274573
232,1728701.4837768567
233,1872686.7587616995
234,1890906.5417799286
235,1808336.4880243468
236,1661736.2363332056
237,1581522.9736253687
238,1450863.8144665756
239,1178389.049419555
240,985422.8219428649
241,905916.8749826945
242,889783.62017399
243,897181.4060066715
244,947070.0432456502
245,1047057.0990069354
246,1376677.3284194944
247,1613338.2748714138
248,1679643.887353707
249,1580228.9655163153
250,1455289.834117623
251,1362299.8107496023
252,1247899.791183933
253,1283083.0902305078
254,1272297.2680294958
255,1374878.3456169951
256,1525482.9188491062
257,1662813.3198355655
258,1632974.8064411865
259,1559829.2097713852
260,1395140.6424326377
261,1333536.7543188906
262,1119942.4904585695
263,835316.3654895955
264,661003.8849100941
265,614749.8155774904
266,622927.2800563702
267,666692.7524579894
268,702263.9425123349
269,777993.074745263
270,1123028.072414219
271,1403780.5541856664
272,1480668.493292619
273,1356609.22752506
274,1280923.3001926513
275,1220841.28386914
276,1195057.8688824568
277,1242497.7194133129
278,1254658.6930517757
279,1309117.623199274
280,1461503.693882075
281,1651414.3013150592
282,1687166.046534378
283,1614154.0371666118
284,1530934.3888994574
285,1494781.4295993946
286,1384640.3421750304
287,1174100.866060366
288,996929.7419086192
289,926015.9748595083
290,897629.1756892372
291,925382.2784687147
292,960102.2805891796
293,1016723.1412116196
294,1377999.5259331916
295,1603522.1886266654
296,1678740.338270888
297,1582413.5808335554
298,1486712.7634546629
299,1459364.3951255747
300,1460173.7054721224
301,1466243.424670777
302,1465875.6081360106
303,1585846.081270555
304,1719409.0171715124
305,1969363.3981356483
306,2017075.5719122274
307,1934148.6853059093
308,1757194.382325121
309,1610063.944500873
310,1531354.5546183519
311,1308527.6648925785
312,1114632.8451484845
313,1057290.8604475833
314,1010104.6591080112
315,1014818.2680417323
316,1010631.2204050876
317,974024.7629718878
318,981278.5359927076
319,1106590.5983379697
320,1231059.305747809
321,1313135.1692956747
322,1293121.6132345365
323,1239765.7357593167
324,1160476.9006238903
325,1092348.2218910777
326,1125753.995272938
327,1318979.6013166907
328,1509062.893788205
329,1787601.3576164828
330,1826982.693911571
331,1737355.380432921
332,1546904.1130852734
333,1446458.7068703214
334,1418613.5554774404
335,1222406.7658471111
336,1046167.1161785688
337,942471.8056120016
338,922214.5729843087
339,868991.6350449844
340,860939.3564635743
341,860788.9733197314
342,820607.7089403106
343,848103.9558452674
344,922494.9323535683
345,961837.6828220455
346,935293.9882189815
347,928167.66884521
348,906933.1111851264
349,844334.3353541351
350,884166.2427688221
351,946947.5273540126
352,1061633.9784475912
353,1314892.4448633064
354,1390055.8641681813
355,1337952.2387560376
356,1237433.3916045036
357,1226025.385270362
358,1231520.0851681477
359,1078915.9516094862
360,989839.2128270138
361,974732.5934401513
362,973180.7011016163
363,1015177.892761949
364,1078757.6143013465
365,1209044.9454754607
366,1666726.3495958091
367,2017049.0571825036
368,2128670.046668595
369,2034600.1433778664
370,1897729.5898101612
371,1820322.7755756516
372,1864688.3780902724
373,1862246.7666741007
374,1981483.192448326
375,2221239.1530277072
376,2445754.969745746
377,2729097.9426365155
378,2741819.387186607
379,2659247.6403779085
380,2499419.2465860248
381,2430256.7550907587
382,2245868.293542861
383,1978974.0705413562
384,1861813.899892732
385,1768494.6601272328
386,1711637.9050371037
387,1694474.7976105448
388,1719996.6891834831
389,1833691.1963908658
390,2234040.681075486
391,2502723.3131349273
392,2576966.7852242105
393,2335692.791112564
394,2025902.1732933004
395,1890713.6822750547
396,1748258.0801849333
397,1699207.1490225224
398,1723850.0199503533
399,1888283.5390716433
400,2101991.032624006
401,2381788.9388732533
402,2371896.15489525
403,2304657.148641178
404,2258041.590252427
405,2141327.0831847047
406,1985405.6598658145
407,1800689.4485520644
408,1683079.9176067545
409,1613367.461910386
410,1608754.2911762123
411,1620962.4841957104
412,1666032.7809977408
413,1780184.7965916665
414,2122791.334182146
415,2392311.4612226784
416,2390256.358883473
417,2220985.780609831
418,2108119.104210012
419,2005086.7424444945
420,1910198.3656494608
421,1922345.5808963575
422,1986089.537669785
423,2161450.5790138207
424,2305554.609361595
425,2534906.433024145
426,2527550.195449323
427,2395181.5217774822
428,2222912.4551173463
429,2126654.2494956763
430,1980633.1747988868
431,1807595.7873572446
432,1685316.1774178522
433,1645217.9381631964
434,1631699.5716255754
435,1681655.5011672422
436,1720845.3720103004
437,1867180.2603334002
438,2208508.707384903
439,2478890.478492606
440,2580584.8164063627
441,2461718.487947201
442,2440429.790237621
443,2456038.52597986
444,2465875.1827106094
445,2477831.050894703
446,2452052.9559158366
447,2434720.1652035937
448,2424646.432149847
449,2608819.532550889
450,2657545.269160162
451,2626270.6669147243
452,2494246.3637907575
453,2445594.6095804484
454,2221180.1350843976
455,1861241.065231504
456,1586214.0495956135
457,1467724.4887339803
458,1426812.7945423012
459,1461062.830541889
460,1513183.0613112156
461,1661387.2229556045
462,2010166.967821957
463,2305044.588873177
464,2441500.8475031764
465,2338428.441242549
466,2203458.959568954
467,2180711.7659744676
468,2124354.7842123234
469,2140833.2188295964
470,2276592.511793249
471,2422075.8081430793
472,2577119.067516002
473,2794615.524898158
474,2773768.320874685
475,2643472.357372683
476,2445691.055067747
477,2346298.539513732
478,2224828.2020143946
479,2083361.3986683877
480,1915075.147515031
481,1834455.0399160085
482,1785428.4054975484
483,1724904.7487026576
484,1674320.1343154164
485,1588077.7316886268
486,1530172.1618220631
487,1633099.633052292
488,1739020.0671445834
489,1831709.261641711
490,1797025.2021524014
491,1728163.7481764958
492,1608637.8499503818
493,1498643.011977806
494,1466005.2591621452
495,1526831.1240481902
496,1627099.678823866
497,1846005.9574811477
498,1905824.6928499113
499,1764361.9828270595
500,1604377.2663870507
501,1585061.552217911
502,1550750.8394543615
503,1401672.9645565508
504,1228186.9449312077
505,1161772.69416414
506,1143936.526418325
507,1143688.278295996
508,1188922.811234688
509,1169303.0797376963
510,1113100.453991898
511,1138736.9789310342
512,1230383.986423019
513,1366149.3280724755
514,1412878.4542553278
515,1526347.151918142
516,1556491.6425173583
517,1544708.2918460409
518,1489797.2943955476
519,1481652.578275138
520,1481191.9479406485
521,1647808.7093197335
522,1751464.1701062855
523,1705013.1634441148
524,1666508.734005748
525,1674928.9250028864
526,1707798.9043742775
527,1563960.3299253958
528,1381231.4549960007
529,1315483.6270864487
530,1304648.2924014626
531,1313961.902277348
532,1374715.6913253756
533,1513825.4788856227
534,1977902.43253935
535,2309936.71478175
536,2412561.756035919
537,2339716.4785118597
538,2283424.3657787424
539,2283675.56871218
540,2234238.7249889383
541,2235455.610595146
542,2210392.8901610943
543,2294878.5598241463
544,2341399.5861729616
545,2539017.123225791
546,2573087.986642073
547,2430490.0063925874
548,2262059.4757011794
549,2137440.489728879
550,1964756.0454415255
551,1642070.9625802792
552,1440039.0783301576
553,1312215.7882108572
554,1242075.6999006951
555,1219733.840035333
556,1263979.0210621373
557,1418539.3287121803
558,1829373.1565419126
559,2171910.152495046
560,2276910.202001926
561,2131796.557277237
562,2057413.0113851547
563,2042019.8253479847
564,1995582.676846692
565,2071877.1975285108
566,2130594.7379341736
567,2234023.3591792043
568,2234649.086914091
569,2438693.27484912
570,2533402.3325293367
571,2502780.091682035
572,2435580.0479174126
573,2361165.885942903
574,2152904.8339458485
575,1878479.1902118134
576,1682948.736212223
577,1638487.041191103
578,1598656.7585495359
579,1615635.9781607597
580,1701371.188476908
581,1852551.560319879
582,2294554.2231974727
583,2585577.918183069
584,2633322.0740866223
585,2513479.1116134985
586,2393093.02626489
587,2349378.238270777
588,2291053.6197969145
589,2267177.745743195
590,2264347.396878777
591,2326727.39183932
592,2398594.7070892975
593,2592253.992947356
594,2711217.543519171
595,2573035.4044256546
596,2411667.121475454
597,2264971.815906362
598,2119459.3436396103
599,1873520.6633718277
600,1715408.2044443218
601,1632988.6486062983
602,1570053.0321936212
603,1567259.673175645
604,1582910.7757531926
605,1700759.3125873487
606,2035848.5730661661
607,2259558.0252576964
608,2258375.4389496986
609,2145577.3510417477
610,2073253.9350778211
611,2021679.5580428664
612,1966479.84881087
613,1950352.3069598628
614,1935238.35288281
615,1944956.8635036307
616,1931108.580128072
617,2040910.6598953013
618,2127389.9922188027
619,2085208.7861712093
620,1951227.4172419875
621,1905211.1138110897
622,1793421.142889515
623,1644731.2548644247
624,1436993.9195325654
625,1309366.2548540868
626,1257991.8449228941
627,1227589.7433435293
628,1301693.8527529873
629,1419544.1456893133
630,1804728.7643830255
631,2083448.4691311743
632,2275675.4397058287
633,2118829.6790234223
634,2008695.5397876184
635,1940962.7642363221
636,1904263.3983017518
637,1906412.8882429702
638,1900314.3817497976
639,1995484.8088267734
640,2135409.2095708405
641,2409847.8990237755
642,2504958.4192919917
643,2398551.162773357
644,2244413.5894833934
645,2163027.691014499
646,2059956.5865944682
647,1837529.455575273
648,1629309.612603999
649,1512900.7173229496
650,1425180.719028238
651,1386637.6683219767
652,1338936.3958645316
653,1242598.9897236654
654,1218390.3225671384
655,1305719.725467372
656,1433119.0912414535
657,1465439.896442803
658,1391541.475467534
659,1288395.821501028
660,1207956.9018657114
661,1104337.23213613
662,1080038.1048055284
663,1094667.3981538403
664,1176979.3034062355
665,1340322.5111511135
666,1421238.2795336982
667,1344830.640912476
668,1203041.0129484315
669,1168292.7793379228
670,1137812.4197242423
671,1007848.9006488844
672,864428.1583266776
673,780214.445801126
674,769794.6271295468
675,739436.5800103432
676,711812.311916993
677,667886.2474745165
678,632460.5278124731
679,689138.7179415724
680,812608.9968405046
681,896217.7843304939
682,890637.2215353744
683,956595.0550304292
684,995659.609488059
685,960618.2049068764
686,938980.0089869591
687,952316.2780551799
688,1033205.5409285951
689,1308505.7131541024
690,1484955.0119222624
691,1473827.0463431499
692,1361271.6269576957
693,1346822.4054455417
694,1351545.2758577792
695,1174493.7577930659
696,1047886.6302904182
697,979310.7392497788
698,947299.9241746024
699,966555.8480772105
700,1040351.7538239153
701,1166621.7752223075
702,1605058.3439709267
703,1933421.556916782
704,2076841.2681688908
705,2065514.8308436398
706,2075444.340186021
707,2070496.5636112145
708,2070019.6538173207
709,2077948.666703852
710,2092885.8513357844
711,2154553.2649605363
712,2142395.2133449866
713,2279838.236943799
714,2353263.250307314
715,2266809.912479495
716,2157892.342858868
717,2100969.735977622
718,2017346.4772352823
719,1822179.318362237
720,1682627.3316635792
721,1607662.8358107598
722,1608111.5840732988
723,1647858.6367317298
724,1670506.6416178672
725,1777134.5349734013
726,2118527.60737356
727,2383274.1436744486
728,2412094.2927976088
729,2231198.009892989
730,2113919.7573642293
731,2051301.3373776274
732,1985422.6626885517
733,2057087.30176405
734,2069328.0223621877
735,2133064.5965315294
736,2160828.256972943
737,2344027.471971134
738,2450226.546338845
739,2373127.380343536
740,2260588.5323843737
741,2191370.516607532
742,2079607.6338860143
743,1823224.8321373847
744,1704853.9032603474
745,1590628.8256173295
746,1503661.3908083502
747,1457740.274700191
748,1458396.755208653
749,1534721.3850961977
750,1861176.2000668193
751,2120322.5456934976
752,2113134.31342809
753,1955475.5805773227
754,1830214.0862279646
755,1726901.7831791064
756,1631914.6339540153
757,1589112.8691288885
758,1638253.515463387
759,1718178.084810912
760,1764626.6578548031
761,1940086.7970686592
762,2151059.8163390914
763,2063803.5578528992
764,1916318.8734812455
765,1871639.994005428
766,1816992.634744494
767,1650855.8319429066
768,1531847.0020116922
769,1421278.7135262436
770,1396655.015236761
771,1380253.389644518
772,1397738.3047747551
773,1494892.390155408
774,1773914.821996383
775,2062966.6425091429
776,2086162.4848087414
777,1904181.774730301
778,1760430.86166817
779,1631529.8204688255
780,1581162.8106686445
781,1598596.458960523
782,1634858.2250239332
783,1779264.5462949036
784,1921247.7664561633
785,2174804.1496498547
786,2359637.437055847
787,2342982.029650163
788,2316087.9051159453
789,2342470.601393394
790,2350140.479801045
791,2177877.814374055
792,2055319.006652436
793,1994304.6937106666
794,1958617.6286228066
795,1946477.3467052449
796,1975511.1018871572
797,2047924.6583588838
798,2347472.10546858
799,2584622.470685133
800,2628545.0448232284
801,2450378.73211039
802,2239524.8229537266
803,2082080.7447642747
804,2022110.2670117347
805,1973576.1871643567
806,2007560.4239291968
807,2135317.2388318987
808,2200629.3256319677
809,2414290.9819223303
810,2555172.4646215024
811,2422394.0823677676
812,2213968.274763109
813,2181441.1812636154
814,2173134.3009681907
815,2045127.9972562771
816,1853060.2870254824
817,1726890.529237424
818,1626326.3147157908
819,1598320.942415877
820,1573330.2387620325
821,1528882.7955276873
822,1487581.6919327413
823,1612429.3082436249
824,1786279.0838399366
825,1742671.902671396
826,1625500.2161758393
827,1472898.5484101048
828,1378977.525891964
829,1383025.0947298924
830,1507411.721960071
831,1726885.957905012
832,1934704.2383414896
833,2190939.6484476374
834,2393364.1150427912
835,2290538.0369286765
836,2130742.7610335876
837,2148698.855025915
838,2168429.482964847
839,2031626.8612433446
840,1827614.5962622825
841,1690288.3867628905
842,1633501.6562576382
843,1574906.2231872205
844,1512896.3846611492
845,1420258.8731389556
846,1269287.252143216
847,1286491.4481470583
848,1399044.2251823873
849,1470624.2720511225
850,1431405.1578061061
851,1379533.4528176242
852,1326689.9499556473
853,1276183.8213853554
854,1292831.0091049029
855,1449734.3775329771
856,1574545.1844550706
857,1741583.485145053
858,1937497.0997577796
859,1893220.6905482768
860,1793886.9676185334
861,1786736.7936657988
862,1812803.3203595337
863,1631920.5999974466
864,1483483.4865248904
865,1378983.7396006722
866,1327584.0274957411
867,1279439.7824370419
868,1314547.5187118002
