Time Step,Import/Export_1,Import/Export_2,Import/Export_3
2161,-992.5848999999998,-1000.0,-966.2120400000003
2162,-996.554259999999,-1000.0,-957.3567999999996
2163,-994.6407000000008,-1000.0,-949.5797000000002
2164,-992.5239000000001,-1000.0,-943.539999999999
2165,-990.1949999999997,-1000.0,-939.01764
2166,-984.0752000000002,-1000.0,-933.1975000000002
2167,-963.8974600000001,-997.8388999999997,-925.1273999999994
2168,-924.426300000001,-998.6355600000002,-924.4688999999998
2169,-885.1925999999994,-1000.0,-933.8662999999997
2170,-880.0113499999998,-1000.0,-937.1152000000002
2171,-867.3309299999992,-1000.0,-939.6787999999997
2172,-866.2076999999999,-1000.0,-944.9681
2173,-869.9415000000008,-1000.0,-950.7285000000002
2174,-875.4281600000004,-1000.0,-958.8864000000012
2175,-877.3837999999996,-1000.0,-940.3168999999998
2176,-894.5088000000005,-1000.0,-922.0331999999999
2177,-930.2552000000005,-996.0664700000002,-897.4201700000003
2178,-952.8979000000008,-989.2753,-884.685199999999
2179,-960.2116999999998,-986.1426999999999,-892.5106999999989
2180,-959.5171500000006,-984.8435699999998,-891.2641999999996
2181,-959.3228999999992,-983.8933,-888.2345000000005
2182,-964.2066700000005,-984.9389999999999,-879.3627999999999
2183,-972.284239999999,-985.9560499999998,-869.8407599999991
2184,-978.2480499999992,-985.7571999999998,-865.2243699999999
2185,-983.1910400000006,-985.6779000000001,-864.6933000000008
2186,-984.5081,-984.2654400000001,-859.3661000000002
2187,-982.8214000000007,-982.2496299999998,-851.4877299999998
2188,-984.8734999999997,-980.1443000000002,-849.8778999999995
2189,-983.1827400000002,-979.4137600000001,-858.6358
2190,-981.3260500000006,-979.25433,-861.5242299999991
2191,-977.3487999999998,-979.1919599999999,-865.4081999999999
2192,-975.9393299999992,-979.2070000000001,-868.5012999999999
2193,-953.9570300000005,-981.27747,-869.4025000000001
2194,-917.0900999999994,-987.7910999999999,-881.297
2195,-879.33655,-994.0436399999999,-905.53406
2196,-850.1013999999996,-997.9831499999998,-920.3478399999999
2197,-834.5409999999993,-999.2510399999999,-916.8240999999998
2198,-811.2327000000005,-999.1700000000001,-887.2583
2199,-811.7472500000003,-997.4724000000001,-859.2610500000001
2200,-837.2063600000001,-991.04016,-822.2051000000001
2201,-932.2284000000009,-978.4183000000003,-834.8774999999996
2202,-1000.0,-979.7856399999996,-940.8307999999997
2203,-1000.0,-985.7242400000005,-992.0486499999993
2204,-1000.0,-991.1349,-1000.0
2205,-1000.0,-991.9523000000004,-982.4114000000002
2206,-1000.0,-991.4504999999999,-947.4955
2207,-1000.0,-991.0079000000001,-1000.0
2208,-1000.0,-989.5585299999998,-974.35547
2209,-993.8313600000001,-987.6882999999998,-915.5662
2210,-983.8833999999997,-987.5736000000002,-897.5644
2211,-992.4250000000002,-988.6400999999998,-904.7527499999999
2212,-1000.0,-991.4156000000005,-924.9616999999998
2213,-1000.0,-994.1469000000002,-837.2911399999998
2214,-983.7136,-993.8011000000001,197.26277000000027
2215,-973.0605999999998,-995.23785,921.6206700000002
2216,-979.6728999999996,-997.2797000000005,909.7620000000002
2217,-974.9267000000009,-997.0629999999999,711.0931000000003
2218,-976.6562499999991,-996.4361600000002,623.2963
2219,-972.9257000000007,-996.1509399999998,690.4614000000001
2220,-978.0786000000007,-997.4822400000003,731.72217
2221,-993.5863599999993,-999.3270000000002,740.2792
2222,-1000.0,-999.98236,671.1390000000001
2223,-999.46814,-999.4141000000004,948.48236
2224,-996.3399,-998.0263699999996,923.1291499999998
2225,-991.4647999999997,-995.9142999999999,1000.0
2226,-985.1955000000007,-996.2386999999999,1000.0
2227,-978.9008999999996,-995.84186,1000.0
2228,-966.5142000000005,-995.5352000000003,1000.0
2229,-981.0631000000003,-995.8986,1000.0
2230,-1000.0,-995.5035400000002,927.3777500000001
2231,-1000.0,-996.2876999999999,636.9016000000001
2232,-1000.0,-997.6663000000001,262.9206199999999
2233,-1000.0,-998.1794399999999,10.987519999999904
2234,-1000.0,-998.07916,-52.46436699999981
2235,-1000.0,-997.7137,38.508655999999974
2236,-1000.0,-997.1714499999998,259.6767
2237,-1000.0,-996.1542400000001,702.9416000000001
2238,-971.4429299999993,-994.4198000000001,1000.0
2239,-968.9847399999999,-996.60925,1000.0
2240,-975.5771999999997,-997.7225000000003,1000.0
2241,-977.2541000000001,-997.0806999999998,1000.0
2242,-991.2134399999986,-997.5685400000002,1000.0
2243,-999.2322000000004,-998.1944000000001,1000.0
2244,-1000.0,-999.6344600000004,900.1065699999999
2245,-996.9260000000004,-999.7101400000001,406.74115000000006
2246,-981.3476600000013,-997.1458,-144.85836999999992
