Time Step,Import/Export_1,Import/Export_2,Import/Export_3
1,-241.4524036026396,-1000.0,-243.09828438688237
2,93.7213058214902,-1000.0,-264.6823341721765
3,160.0108058795804,-1000.0,-295.9509302019096
4,290.5189406643599,-1000.0,-318.0981850752778
5,460.2374482598402,-1000.0,-343.6080945984386
6,618.3340654106605,-1000.0,-358.2975423631142
7,439.94680139677985,-1000.0,-383.0558931089954
8,228.8387463850545,-1000.0,-407.3129604154192
9,259.5628016364594,-1000.0,-378.73299411505377
10,266.67001501394043,-1000.0,-1000.0
11,-49.49458796691761,-1000.0,-313.12403818914163
12,-340.8637316034301,-1000.0,-667.2791476387397
13,-503.6866025564368,-1000.0,-646.0052836391601
14,-802.5918277944429,-1000.0,-594.531637219884
15,-1000.0,-1000.0,-878.8902873106517
16,-1000.0,-1000.0,-1000.0
17,-1000.0,-1000.0,-1000.0
18,-1000.0,-1000.0,-1000.0
19,-1000.0,-1000.0,-1000.0
20,-1000.0,-1000.0,-1000.0
21,-1000.0,-1000.0,-1000.0
22,-1000.0,-1000.0,-1000.0
23,-1000.0,-1000.0,-1000.0
24,-1000.0,-1000.0,-1000.0
25,-1000.0,-1000.0,-1000.0
26,-1000.0,-1000.0,-1000.0
27,-1000.0,-1000.0,-1000.0
28,-1000.0,-1000.0,-1000.0
29,-1000.0,-1000.0,-1000.0
30,-1000.0,-1000.0,-1000.0
31,-1000.0,-1000.0,-1000.0
32,-1000.0,-1000.0,-1000.0
33,-1000.0,-1000.0,-1000.0
34,-1000.0,-1000.0,-1000.0
35,-1000.0,-941.8987823023092,-1000.0
36,-1000.0,-1000.0,-1000.0
37,-1000.0,-1000.0,-1000.0
38,-1000.0,-1000.0,-1000.0
39,-1000.0,-1000.0,-1000.0
40,-1000.0,-818.6968498736614,-1000.0
41,-1000.0,-941.2164614912022,-1000.0
42,-1000.0,-945.1178638656174,-1000.0
43,-1000.0,-907.0898443115641,-1000.0
44,-1000.0,-858.4074685084838,-1000.0
45,-1000.0,-826.9636742482899,-1000.0
46,-1000.0,-775.439460661968,-1000.0
47,-1000.0,-855.5221657543898,-1000.0
48,-1000.0,-822.8726624065084,-1000.0
49,-1000.0,-927.3634730490419,-1000.0
50,-1000.0,-941.1282406571672,-1000.0
51,-1000.0,-952.9662276938275,-1000.0
52,-1000.0,-956.2986276256872,-1000.0
53,-1000.0,-958.236331504211,-1000.0
54,-1000.0,-817.6153377273004,-1000.0
55,-1000.0,-958.2779295714893,-1000.0
56,-1000.0,-922.9827454088502,-1000.0
57,-1000.0,-904.4186805656084,-1000.0
58,-1000.0,-899.1842960399749,-1000.0
59,-1000.0,-910.9704288326593,-1000.0
60,-1000.0,-916.7349972302768,-1000.0
61,-1000.0,-919.2101029516405,-1000.0
62,-1000.0,-928.5595522026326,-1000.0
63,-1000.0,-978.645308153111,-1000.0
64,-1000.0,-1000.0,-1000.0
65,-1000.0,-1000.0,-1000.0
66,-1000.0,-1000.0,-1000.0
67,-1000.0,-1000.0,-1000.0
68,-1000.0,-995.6815695843993,-1000.0
69,-1000.0,-949.445046684943,-1000.0
70,-1000.0,-898.4475482645134,-1000.0
71,-1000.0,-745.0760130144799,-1000.0
72,-1000.0,-854.3296524672498,-1000.0
73,-1000.0,-928.5298263339039,-1000.0
74,-1000.0,-923.1151160915992,-1000.0
75,-1000.0,-914.3562605243837,-1000.0
76,-1000.0,-900.9598192800033,-1000.0
77,-1000.0,-830.5260708616322,-1000.0
78,-1000.0,-959.5766942756168,-1000.0
79,-1000.0,-878.2411013575736,-1000.0
80,-1000.0,-953.0689534054495,-1000.0
81,-1000.0,-956.7814184493425,-1000.0
82,-1000.0,-848.3387918976148,-1000.0
83,-1000.0,-821.7999924575392,-1000.0
84,-1000.0,-924.4964160393788,-1000.0
85,-1000.0,-972.7746437944488,-1000.0
86,-1000.0,-931.1727816020139,-1000.0
87,-1000.0,-817.836647522221,-1000.0
88,-1000.0,-921.96174633324,-1000.0
89,-1000.0,-874.4655125034396,-1000.0
90,-1000.0,-870.9687969738452,-1000.0
91,-1000.0,-913.925916242652,-1000.0
92,-1000.0,-952.0890940126005,-1000.0
93,-1000.0,-975.8701614254383,-1000.0
94,-1000.0,-1000.0,-1000.0
95,-1000.0,-975.5612196259237,-640.5308947395397
96,-1000.0,-895.7481774769885,-471.13304332154075
97,-1000.0,-751.703184056618,-500.7009769571696
98,-1000.0,-759.9535174176622,-538.0264515292324
99,-1000.0,-765.982670856858,-614.7999883479565
100,-1000.0,-759.4705817614367,-706.6746182675665
101,-1000.0,-743.0006134686944,-788.8570508417088
102,-1000.0,-944.5559911537787,-1000.0
103,-1000.0,-978.8275729565598,-1000.0
104,-1000.0,-944.3230621020241,-1000.0
105,-1000.0,-952.3941956826775,-1000.0
106,-1000.0,-924.4246282198972,-1000.0
107,-1000.0,-908.7524591826441,-1000.0
108,-1000.0,-1000.0,-1000.0
109,-1000.0,-986.9747206530342,-1000.0
110,-1000.0,-897.3162327405344,-1000.0
111,-1000.0,-934.0682327384156,-1000.0
112,-1000.0,-889.8435003446054,183.2361611826982
113,-1000.0,-894.0965644864023,280.0402272192846
114,-1000.0,-904.4708639263367,367.9324746539121
115,-1000.0,-891.4640380573296,433.3510741767343
116,-1000.0,-921.7532375941494,491.84423824341184
117,-1000.0,-963.4370268969815,518.3048667805806
118,-1000.0,-983.5549062810212,507.5331676151045
119,-1000.0,-1000.0,444.210672391509
120,-1000.0,-1000.0,-141.53180918868247
121,-1000.0,-1000.0,-589.7640408801099
122,-1000.0,-1000.0,-822.6895999130084
123,-1000.0,-1000.0,-802.7383796705981
124,-1000.0,-1000.0,-672.4501503964702
125,-1000.0,-1000.0,-488.6921850050735
126,-1000.0,-1000.0,288.85389733010993
127,-1000.0,-980.0586506498851,312.27062311051577
128,-1000.0,-934.1748566245881,261.9331580610369
129,-1000.0,-942.0693437381353,285.09771416783406
130,-1000.0,-931.6029361025815,-136.6894451934653
131,-1000.0,-888.0591519788468,-334.2284457752944
132,-1000.0,-915.8242413006403,-476.57107658809537
133,-1000.0,-923.2310813094205,-770.0149342486675
134,-1000.0,-959.779229943013,-719.4777487718347
135,-1000.0,-954.6390485819488,8.779281991043717
136,-1000.0,-907.4531322732587,-339.6847448760536
137,-1000.0,-891.1666121994667,-539.2020607430954
138,-1000.0,-863.3913574551611,-640.4795357151193
139,-1000.0,-884.1420498599018,-657.2723509684129
140,-1000.0,-997.2702111808208,-1000.0
141,-1000.0,-1000.0,-671.6917043106957
142,-1000.0,-1000.0,-956.1440283838427
143,-1000.0,-1000.0,-1000.0
144,-1000.0,-1000.0,-1000.0
145,-1000.0,-916.3933112814902,-1000.0
146,-1000.0,-859.8897076747498,-1000.0
147,-1000.0,-993.5413341699223,-905.9758940106303
148,-1000.0,-978.8102374934424,-705.3801976985405
149,-1000.0,-951.519872218081,-463.5782827442399
150,-1000.0,-890.1312720398801,-371.86099858734997
151,-1000.0,-1000.0,-717.5447694943905
152,-1000.0,-1000.0,-1000.0
153,-1000.0,-1000.0,-1000.0
154,-1000.0,-1000.0,-1000.0
155,-1000.0,-1000.0,-1000.0
156,-1000.0,-1000.0,-1000.0
157,-1000.0,-1000.0,-1000.0
158,-1000.0,-1000.0,-1000.0
159,-1000.0,-1000.0,-1000.0
160,-1000.0,-1000.0,-710.3564694669205
161,-1000.0,-1000.0,-622.9199343254077
162,-1000.0,-1000.0,-744.8772529915291
163,-1000.0,-1000.0,-1000.0
164,-1000.0,-1000.0,-1000.0
165,-1000.0,-1000.0,-1000.0
166,-1000.0,-925.8401359129664,-1000.0
167,-1000.0,-900.3914751659574,-1000.0
168,-1000.0,-1000.0,-1000.0
169,-1000.0,-1000.0,-1000.0
170,-1000.0,-1000.0,-1000.0
171,-1000.0,-1000.0,-1000.0
172,-1000.0,-1000.0,-1000.0
173,-1000.0,-1000.0,-1000.0
174,-1000.0,-1000.0,-1000.0
175,-1000.0,-1000.0,-1000.0
176,-1000.0,-1000.0,-1000.0
177,-1000.0,-1000.0,-1000.0
178,-1000.0,-1000.0,-1000.0
179,-1000.0,-1000.0,-1000.0
180,-1000.0,-1000.0,-1000.0
181,-1000.0,-1000.0,-1000.0
182,-1000.0,-1000.0,-1000.0
183,-1000.0,-1000.0,-1000.0
184,-1000.0,-1000.0,-1000.0
185,-1000.0,-1000.0,-1000.0
186,-1000.0,-981.2907751492953,-1000.0
187,-1000.0,-990.1440183917664,-1000.0
188,-1000.0,-1000.0,-1000.0
189,-1000.0,-921.9042618579558,-1000.0
190,-1000.0,-1000.0,-1000.0
191,-1000.0,-927.9553191888397,-1000.0
192,-1000.0,-1000.0,-1000.0
193,-1000.0,-1000.0,-1000.0
194,-1000.0,-1000.0,-1000.0
195,-1000.0,-1000.0,-1000.0
196,-1000.0,-1000.0,-1000.0
197,-1000.0,-1000.0,-1000.0
198,-1000.0,-1000.0,-1000.0
199,-1000.0,-1000.0,-1000.0
200,-1000.0,-1000.0,-1000.0
201,-1000.0,-1000.0,-1000.0
202,-1000.0,-1000.0,-1000.0
203,-1000.0,-1000.0,-1000.0
204,-1000.0,-1000.0,-1000.0
205,-1000.0,-1000.0,-1000.0
206,-1000.0,-1000.0,-1000.0
207,-1000.0,-1000.0,-1000.0
208,-1000.0,-1000.0,-1000.0
209,-1000.0,-1000.0,-1000.0
210,-1000.0,-1000.0,-1000.0
211,-1000.0,-1000.0,-1000.0
212,-1000.0,-1000.0,-1000.0
213,-1000.0,-1000.0,-1000.0
