Time Step,1,2,3,Import/Export_1,Import/Export_2,Import/Export_3
1,151858.97313576954,76996.0,16074.0,0.0,97466.41298190452,154769.7052749639
2,114416.0,75641.8552041666,16074.0,0.0,84618.9660935799,139442.28476336724
3,114416.0,58497.861142495734,16074.0,0.0,78221.83199660304,130086.23608918837
4,114416.0,38621.439270348885,16074.0,0.0,74985.46312351903,122274.67217878593
5,108229.34618903161,17700.0,16074.0,0.0,68815.59971295926,112194.84051641704
6,74236.10514878611,17700.0,16074.0,0.0,55981.40195737389,98343.38374997099
7,71805.48436012551,17700.0,16074.0,0.0,51517.42293387435,94139.25653313882
8,81468.68222466165,17700.0,16074.0,0.0,53053.42903802331,95686.77152216308
9,91156.35422923847,17700.0,16074.0,0.0,65994.98704632891,111175.19262456289
10,47494.34457372422,17700.0,16074.0,0.0,78559.65753156303,105725.72045855806
11,0.0,17700.0,16074.0,0.0,96268.26349166466,149289.17710004022
12,10295.510582478404,17700.0,16074.0,0.0,104278.89593461435,147024.09368553167
13,21368.238769804007,17700.0,16074.0,0.0,107372.47287142594,152844.49610233563
14,48996.42697528956,50497.75865173861,16074.0,0.0,110826.52663240593,159336.8653953649
15,112149.54383839881,46436.13965069853,16074.0,27561.50380086078,113104.22158970602,154395.52529077107
16,161497.12765921,76996.0,15737.653046020407,107059.18331383713,123405.52471061514,161992.02616813258
17,174064.0,96636.25434972235,15164.303992725732,152189.84511900606,138781.54473706096,182631.88550980805
18,168520.472787719,76996.0,14461.879526443,144503.88287746746,135516.73953072968,177381.51463294664
19,123657.05724059639,76996.0,15725.876390335612,117987.14076590324,120641.02787211043,156834.92127256954
20,80443.51272804178,76996.0,12420.249629809661,95464.88002296069,99633.10022136211,132601.99284899927
21,69749.0079491939,71937.95339116474,4109.9120889836595,108290.17861702811,93463.84799127701,122874.01991057626
22,66671.15276861843,60381.16986478013,2186.676081925855,120568.11797781792,88848.21304001726,116044.58237028224
23,66913.76545345063,17700.0,0.0,96066.23003341636,67220.31128198262,93298.13394988286
24,29118.095816354027,17700.0,0.0,81248.06731708333,50026.84745414676,73764.16970071825
25,15313.994714214065,16712.58214729474,0.0,82934.27125238319,42578.30328097492,63140.51226074075
26,18760.493313415176,16910.996871822284,0.0,102481.80875212661,47287.67153929306,63567.91676316996
27,25483.55367063539,17700.0,0.0,120267.40173435246,54769.586869571365,67319.26422500124
28,39622.5763882091,17700.0,0.0,141960.02872055562,65158.69746408628,74510.35826246282
29,79323.46953128245,17700.0,0.0,194903.10888620108,88718.03145391447,95715.77895881422
30,102854.58366360844,70963.13432995998,20.561576925870934,290408.87495356635,131405.9740739116,134975.3973068603
31,166286.80899144124,76996.0,2314.9889057715013,387402.0339703561,173958.65225557462,177243.59681417467
32,214289.9619707883,84622.46253842096,16725.95973960322,450470.04955739784,227024.17845691758,216804.66200754556
33,242368.71912768367,106675.290298566,5267.776017007216,447399.5360003788,258848.76786348582,236467.2333659941
34,261227.0250083573,105519.11087677989,6221.192331217239,422087.38745597185,268271.11066471,245141.22621700057
35,254133.8566057619,106962.57843119091,8457.967884509719,401265.1630170659,265576.9506089172,245759.33852996049
36,247285.84445070353,82779.99982311863,10773.145330188072,384326.4988538375,255650.33581277978,245732.5524270776
37,228393.8479832863,56381.371432748405,15853.309254897085,389530.709671985,259356.67272767762,246940.70994582592
38,250745.74239991858,18222.18034770036,21156.59767195232,413478.38535207574,264852.7604353301,245196.30874026078
39,246298.06996476883,66816.41151359101,17492.974571186027,446104.61434013356,269689.52609503036,243590.35441822914
40,264629.17838233436,125655.0,16949.524213595054,497783.230164399,293233.3730374376,240930.12792297173
41,358173.0426292856,125655.0,7405.641388981528,542476.5358892146,312859.93179734884,262212.8659386407
42,370442.15568780503,125655.0,7456.856206714057,550542.5926435555,317107.8655599727,265091.55238394294
43,344164.16175421764,125655.0,7365.7059962776875,528000.6283835254,299369.5996472734,248689.6662582131
44,311565.4606909934,125655.0,11452.884905334158,499323.2950925603,280884.44778390764,231112.68778787545
45,299339.0978472276,125655.0,14005.231532325513,485476.82121732726,275502.080859506,222512.04946080135
46,257367.30600080846,125655.0,18211.61632861069,456182.901802825,254535.9532522867,202384.2054694632
47,214658.749046133,100166.22926278017,14190.945314120287,390014.64926505246,184310.0,160050.06163396803
48,169205.95267422835,98576.10698371509,8426.193775957492,346365.89949732454,163429.80432047698,137779.81103202875
49,166021.33854370302,76996.0,6665.605636454819,319552.6757358697,143847.6460685841,121573.9610906195
50,158245.91391684487,76996.0,9982.664921249601,319338.4078599397,140657.06692961068,117414.72815443811
51,157412.9422819633,76996.0,19221.339962949954,324533.912906374,141125.08300867988,118566.40618091126
52,164481.0412365094,76996.0,21129.191022360556,334884.9569179363,144399.24290995626,120794.36108463327
53,171270.69656065517,76996.0,20737.312465209376,349427.173239304,147596.3931729642,124327.09915806672
54,188882.62791857639,118014.57059035316,11817.569720737885,415732.2734274991,184310.0,153728.45230730434
55,270821.0983478589,109878.14076266607,11488.310319696096,466292.53750999394,222575.7931022349,185892.1627603125
56,295744.3221782679,120426.21930213345,10564.85341734903,480185.34952957527,259606.34204930722,208774.5394959612
57,295289.91878634284,124089.24675014953,10082.107677221433,439911.0196282843,278580.9221974534,216731.42356264353
58,309598.3320348891,125655.0,11063.800351993914,413200.99901546154,311733.50777825515,231265.28701126226
59,329595.19053464825,125655.0,12525.75753729772,386388.9852884556,348310.6925247322,246531.66340910093
60,324097.4538907562,125655.0,13821.945002165863,355539.33591864014,365844.1345311637,248255.7752381477
61,311662.1288367767,125655.0,14293.693322415891,351872.3825833148,377562.0636556195,244644.04863731656
62,322344.9606710759,125655.0,14706.82274908681,372903.10488357674,380284.0117124863,236547.85730241437
63,362417.64621683664,125655.0,15084.724760698742,424273.7470237687,390884.5655732837,241809.41432917223
64,371047.3496048259,125655.0,38098.66598172515,482601.54208811594,399598.163817691,248657.72945173678
