Time Step,Objective
1,497165.0913926379
2,430193.10606111377
3,397295.9292282872
4,366371.57457265386
5,323013.7864184079
6,262334.890856131
7,251236.16382713872
8,263982.88278484804
9,302100.53390013025
10,265553.7225638453
11,282677.9544870331
12,305118.83310684096
13,327477.6299535272
14,389381.22577137983
15,469720.9341704352
16,646687.5148978153
17,759467.8337083232
18,722875.1643542416
19,629589.0137268456
20,531883.0099661032
21,538705.713561603
22,559806.158604001
23,487831.35942042136
24,426313.4308040468
25,410676.8756436595
26,456798.4260716185
27,504799.86933527124
28,563712.4352956573
29,694967.8170567434
30,927279.1967291828
31,1166528.472148208
32,1377194.1033995843
33,1449780.046267589
34,1442865.5894470322
35,1402369.3659784684
36,1331060.8320088247
37,1282417.2772810725
38,1285485.9352918684
39,1354872.610012547
40,1507440.0713529391
41,1677092.0339451768
42,1700597.9967485867
43,1614173.5783547584
44,1516914.2332263421
45,1477830.6197740673
46,1372291.6315807295
47,1127894.720195991
48,987340.4888104858
49,894043.0603699776
50,866854.5005563914
51,865487.7003263687
52,883254.4235778587
53,908549.3063799705
54,1089856.4536007727
55,1286036.6958907447
56,1397151.8680720353
57,1387960.4720417766
58,1424083.3065348645
59,1467696.8086815947
60,1447905.5929159704
61,1434850.3054123342
62,1455714.4354908946
63,1560125.09790376
64,1665658.450944095
65,1759981.3655544152
66,1674919.361904126
67,1502055.1929857335
68,1344664.2993867232
69,1242421.3350445875
70,1113385.7589248084
71,881763.4869711024
72,723790.6141844868
73,654598.8371758311
74,628765.1189384783
75,642421.9461704579
76,658145.1857255545
77,727113.383767736
78,937187.8155431459
79,1196701.0713458394
80,1371633.1856852225
81,1343051.3460717525
82,1210159.3024958759
83,1140059.342149965
84,1097649.5234784395
85,1134790.8667783048
86,1179933.4401937102
87,1333322.739105056
88,1517110.6160880853
89,1694864.4543346546
90,1729271.637094712
91,1625753.073344223
92,1507547.5058211635
93,1438786.037474023
94,1321421.4308800802
95,1057552.4895543042
96,900860.9504031569
97,814175.1455119875
98,782192.3377608239
99,776595.5559109144
100,802809.9823093731
101,831470.8316169445
102,1065361.0305109883
103,1335399.068577958
104,1511656.9227077228
105,1459064.4585182238
106,1364435.697131949
107,1334826.662559783
108,1316309.9264444269
109,1361752.8601462014
110,1421827.9664114506
111,1584132.0020401953
112,1871336.8254599252
113,2193171.887795063
114,2229515.819058689
115,2128307.7657543854
116,2015173.0394332136
117,1903252.8110351579
118,1800601.3900301105
119,1572371.091248441
120,1343880.315192855
121,1167465.2167887508
122,1098998.419193943
123,1102269.7776091762
124,1128174.016729528
125,1199471.2205767983
126,1502299.682984766
127,1804278.247090183
128,1968665.9570664614
129,1935990.4440252185
130,1822392.0553188573
131,1795188.5557894206
132,1764660.3587136546
133,1751690.379676924
134,1792260.4568427613
135,1967280.2094856333
136,2127807.034241645
137,2358053.2816315875
138,2311528.177205632
139,2181465.156542316
140,2023105.5177741344
141,1953856.3015055154
142,1788640.5409066211
143,1548587.2684254318
144,1334784.925744671
145,1233356.3006317932
146,1166526.8683996622
147,1169579.5647255487
148,1156604.0235120682
149,1115694.736073423
150,1099484.2192661942
151,1187089.6266389708
152,1384902.7172966448
153,1479621.7944223154
154,1399437.6905801098
155,1389545.7659260847
156,1342796.272817643
157,1381559.7531663305
158,1420474.3526740756
159,1540633.692124406
160,1666748.647350952
161,1822291.3321623204
162,1801123.1336569483
163,1714807.3906379112
164,1546975.2891683069
165,1416330.1440878692
166,1336864.1245962689
167,1165856.027956784
168,983034.1797667331
169,878611.6739413135
170,828975.2423413524
171,781755.493843487
172,788072.6876108918
173,763199.9309672733
174,692453.2981255756
175,698797.8309813603
176,768659.6885547591
177,879010.4259933286
178,981423.8719038254
179,1085264.1703163253
180,1143430.5026196556
181,1105343.9978984974
182,1090666.1056516916
183,1098925.87051877
184,1189470.081460168
185,1483805.369271062
186,1538436.439663003
