,Timestep,Line,Actual,Predicted
0,2161,1,-5046.7656,-4869.2305
1,2161,2,974.7211,338.6881
2,2161,3,4072.0447,4445.913
3,2162,1,-5058.098,-4954.809
4,2162,2,1015.26184,313.63428
5,2162,3,4042.8362,4537.655
6,2163,1,-5201.2886,-4969.3706
7,2163,2,1108.4149,340.57248
8,2163,3,4092.8738,4505.366
9,2164,1,-5257.2104,-4996.345
10,2164,2,1176.4001,343.60574
11,2164,3,4080.81,4506.9507
12,2165,1,-4768.782,-5016.438
13,2165,2,739.21765,343.80853
14,2165,3,4029.565,4505.049
15,2166,1,-4194.548,-4956.451
16,2166,2,97.64101,430.94092
17,2166,3,4096.9067,4324.846
18,2167,1,-4759.168,-4882.719
19,2167,2,1223.9083,683.329
20,2167,3,3535.2598,3991.0146
21,2168,1,-5381.4883,-5064.899
22,2168,2,1970.9337,1186.9078
23,2168,3,3410.5547,3739.06
24,2169,1,-5243.2393,-5418.2188
25,2169,2,1348.2645,1722.7161
26,2169,3,3894.975,3691.3464
27,2170,1,-5160.0903,-5500.9316
28,2170,2,1227.3079,1894.8151
29,2170,3,3932.7825,3625.07
30,2171,1,-5750.5024,-5621.602
31,2171,2,1986.5244,2215.1377
32,2171,3,3763.9783,3568.4812
33,2172,1,-5739.199,-5826.622
34,2172,2,1855.4939,2574.8765
35,2172,3,3883.7053,3679.2188
36,2173,1,-5933.6353,-5868.469
37,2173,2,2152.8318,2596.5286
38,2173,3,3780.8032,3765.4631
39,2174,1,-5971.0713,-5833.455
40,2174,2,2289.6458,2498.5447
41,2174,3,3681.426,3807.875
42,2175,1,-5891.404,-5597.4473
43,2175,2,2132.2524,2132.9717
44,2175,3,3759.1516,3843.3357
45,2176,1,-5958.439,-5383.005
46,2176,2,2377.6167,1853.7665
47,2176,3,3580.8223,3745.6768
48,2177,1,-5642.0566,-5148.4023
49,2177,2,2312.1094,1381.343
50,2177,3,3329.9473,3740.1895
51,2178,1,-4690.0654,-4841.477
52,2178,2,1864.9626,1100.4253
53,2178,3,2825.103,3540.8452
54,2179,1,-4426.4736,-4709.446
55,2179,2,1690.6837,1179.0061
56,2179,3,2735.7898,3376.7898
57,2180,1,-4453.6606,-4714.3564
58,2180,2,1779.4728,1270.8812
59,2180,3,2674.1877,3309.7412
60,2181,1,-4819.539,-4707.1416
61,2181,2,2074.9119,1322.6868
62,2181,3,2744.627,3256.333
63,2182,1,-4497.189,-4689.8584
64,2182,2,1127.1482,1157.6298
65,2182,3,3370.0403,3351.587
66,2183,1,-5121.3545,-4799.459
67,2183,2,869.20404,1039.4906
68,2183,3,4252.1504,3499.6582
69,2184,1,-4678.0796,-4968.386
70,2184,2,669.1884,913.65485
71,2184,3,4008.891,3748.1086
72,2185,1,-4517.209,-5072.514
73,2185,2,652.82904,847.37573
74,2185,3,3864.3801,3873.3777
75,2186,1,-4427.874,-5088.9478
76,2186,2,764.41223,904.7368
77,2186,3,3663.4617,3797.202
78,2187,1,-4533.8057,-5037.9424
79,2187,2,765.3728,1005.18085
80,2187,3,3768.4329,3638.2024
81,2188,1,-4429.0317,-4858.3877
82,2188,2,966.5099,1129.7886
