,Timestep,Line,Actual,Predicted
0,2161,37->65,-508.15186,-515.732
1,2161,49->68,-136.33594,-163.2202
2,2161,37->39,-1001.3918,-948.10016
3,2161,47->68,92.32745,21.9428
4,2161,25->47,-417.36182,-322.0675
5,2161,65->68,-851.10376,-994.2525
6,2161,83->25,1328.3319,1334.7411
7,2161,24->25,1791.5282,1545.8262
8,2161,47->73,-214.84499,-283.86282
9,2161,47->72,157.77301,66.067085
10,2161,9->10,1000.0,991.0489
11,2161,55->119,999.99994,1002.862
12,2161,89->120,1000.0,1003.4924
13,2162,37->65,-507.69937,-513.98846
14,2162,49->68,-134.87318,-160.82855
15,2162,37->39,-1001.1552,-964.06396
16,2162,47->68,97.54527,5.585182
17,2162,25->47,-423.46365,-324.71964
18,2162,65->68,-844.29407,-980.2745
19,2162,83->25,1331.6346,1362.0073
20,2162,24->25,1794.145,1559.5146
21,2162,47->73,-201.82129,-279.62808
22,2162,47->72,166.38689,68.4766
23,2162,9->10,1000.0,996.4218
24,2162,55->119,999.99994,1003.389
25,2162,89->120,1000.0,1012.0358
26,2163,37->65,-528.56555,-514.6779
27,2163,49->68,-137.4219,-158.6369
28,2163,37->39,-1049.356,-970.74347
29,2163,47->68,111.08336,7.891111
30,2163,25->47,-437.1951,-326.87845
31,2163,65->68,-870.3186,-969.4281
32,2163,83->25,1359.2704,1367.769
33,2163,24->25,1826.9016,1560.0327
34,2163,47->73,-188.60857,-271.1765
35,2163,47->72,178.56384,73.95985
36,2163,9->10,1000.0,1001.33386
37,2163,55->119,999.99994,1003.1114
38,2163,89->120,1000.0,1011.70276
39,2164,37->65,-538.70294,-516.3101
40,2164,49->68,-138.39601,-158.14032
41,2164,37->39,-1065.6531,-976.8934
42,2164,47->68,131.77129,5.064096
43,2164,25->47,-448.59586,-328.36252
44,2164,65->68,-884.3814,-966.3273
45,2164,83->25,1358.8301,1381.284
46,2164,24->25,1845.4281,1573.7037
47,2164,47->73,-176.62137,-270.35513
48,2164,47->72,191.0757,74.99341
49,2164,9->10,1000.0,1008.59906
50,2164,55->119,999.99994,1003.2262
51,2164,89->120,1000.0,1013.67615
52,2165,37->65,-511.65036,-518.2946
53,2165,49->68,-148.623,-158.27553
54,2165,37->39,-975.3282,-979.66095
55,2165,47->68,72.94064,5.4158225
56,2165,25->47,-372.8076,-329.55423
57,2165,65->68,-926.8666,-966.9188
58,2165,83->25,1228.936,1391.9012
59,2165,24->25,1680.0599,1583.9681
60,2165,47->73,-237.38635,-270.06943
61,2165,47->72,119.366684,76.38599
62,2165,9->10,1000.0,1015.39813
63,2165,55->119,999.99994,1003.1031
64,2165,89->120,1000.0,1014.1363
65,2166,37->65,-496.397,-522.0686
66,2166,49->68,-170.99557,-155.53955
67,2166,37->39,-880.0338,-973.06067
68,2166,47->68,19.801226,36.254753
69,2166,25->47,-238.38441,-333.82803
70,2166,65->68,-1043.4318,-958.81323
71,2166,83->25,1239.4459,1374.7592
72,2166,24->25,1340.2867,1550.6189
73,2166,47->73,-327.36954,-250.65327
74,2166,47->72,4.8214645,95.43551
75,2166,9->10,1000.0,1019.27466
76,2166,55->119,999.99994,1000.6261
77,2166,89->120,1000.0,993.01587
78,2167,37->65,-576.2849,-532.03186
79,2167,49->68,-131.51654,-142.43045
80,2167,37->39,-1092.6147,-999.31964
81,2167,47->68,190.12456,73.1996
82,2167,25->47,-384.26025,-345.06757
83,2167,65->68,-894.5066,-907.8612
84,2167,83->25,1167.4138,1333.5443
85,2167,24->25,1538.5945,1504.8348
86,2167,47->73,-168.07416,-226.25342
87,2167,47->72,174.72127,125.81373
88,2167,9->10,1000.0,1011.7014
89,2167,55->119,999.99994,998.4534
90,2167,89->120,1000.0,939.32355
91,2168,37->65,-660.30005,-554.16437
92,2168,49->68,-95.4253,-121.46359
93,2168,37->39,-1426.8776,-1144.8662
94,2168,47->68,184.07677,5.647436
95,2168,25->47,-441.8299,-346.44955
96,2168,65->68,-743.46747,-806.89246
97,2168,83->25,1180.3038,1329.0153
98,2168,24->25,1672.1771,1527.352
99,2168,47->73,-128.96117,-241.27505
100,2168,47->72,225.70345,124.009384
101,2168,9->10,1000.0,983.85016
102,2168,55->119,999.99994,1000.5947
103,2168,89->120,1000.0,966.9487
104,2169,37->65,-612.6821,-593.2947
105,2169,49->68,-74.92744,-87.804695
106,2169,37->39,-1504.0579,-1420.9065
107,2169,47->68,-127.5995,-118.52181
108,2169,25->47,-303.01712,-354.45505
109,2169,65->68,-585.2022,-637.7102
110,2169,83->25,1259.6531,1292.9104
111,2169,24->25,1563.8293,1618.5778
112,2169,47->73,-324.03494,-286.1258
113,2169,47->72,40.271378,100.53196
114,2169,9->10,1000.0,967.8279
115,2169,55->119,999.99994,1004.50446
116,2169,89->120,1000.0,1034.5297
117,2170,37->65,-598.49774,-591.4221
118,2170,49->68,-69.78146,-80.39543
119,2170,37->39,-1496.0739,-1448.5941
120,2170,47->68,-173.34833,-137.77066
121,2170,25->47,-278.64764,-357.9418
122,2170,65->68,-547.01,-598.6109
123,2170,83->25,1238.4938,1303.3634
124,2170,24->25,1548.3771,1610.0093
125,2170,47->73,-362.15143,-288.12628
126,2170,47->72,6.3798904,109.934875
127,2170,9->10,1000.0,965.16925
128,2170,55->119,999.99994,1006.51965
129,2170,89->120,1000.0,1039.4485
130,2171,37->65,-603.6036,-616.1552
131,2171,49->68,-14.8318,-51.985073
132,2171,37->39,-1660.8582,-1605.4304
133,2171,47->68,-193.43384,-170.62735
134,2171,25->47,-388.1455,-362.606
135,2171,65->68,-259.1602,-485.7417
136,2171,83->25,1263.5254,1341.34
137,2171,24->25,1834.3699,1651.4816
138,2171,47->73,-295.2327,-281.41986
139,2171,47->72,96.57586,111.237495
140,2171,9->10,1000.0,978.0011
141,2171,55->119,999.99994,1012.2728
142,2171,89->120,1000.0,1092.9158
143,2172,37->65,-579.08,-671.54456
144,2172,49->68,-17.113115,-2.2183762
145,2172,37->39,-1549.4321,-1901.2332
146,2172,47->68,-163.22192,-207.3621
147,2172,25->47,-411.25113,-389.5155
148,2172,65->68,-318.4825,-316.45712
149,2172,83->25,1280.6005,1466.5278
150,2172,24->25,1918.8356,1768.515
151,2172,47->73,-294.15997,-271.96704
152,2172,47->72,108.70819,123.33447
153,2172,9->10,893.4194,1005.711
154,2172,55->119,999.99994,1024.3259
155,2172,89->120,1000.0,1113.6508
156,2173,37->65,-616.32355,-690.2321
157,2173,49->68,-2.392816,14.490883
158,2173,37->39,-1705.4075,-2002.1444
159,2173,47->68,-143.73143,-222.93097
160,2173,25->47,-424.15472,-398.79962
161,2173,65->68,-284.783,-259.7892
162,2173,83->25,1245.3749,1526.7218
163,2173,24->25,1942.3745,1811.896
164,2173,47->73,-284.15247,-266.56668
165,2173,47->72,122.00584,131.10773
166,2173,9->10,606.1647,1021.3241
167,2173,55->119,999.99994,1030.4225
168,2173,89->120,1000.0,1126.3356
169,2174,37->65,-609.33484,-696.72015
170,2174,49->68,-10.403823,23.384062
171,2174,37->39,-1716.2643,-2050.7751
172,2174,47->68,-290.48874,-231.10489
173,2174,25->47,-378.42758,-403.5735
174,2174,65->68,-320.3882,-225.04013
175,2174,83->25,1610.3358,1568.1746
176,2174,24->25,1656.709,1822.8157
177,2174,47->73,62.733963,-253.41223
178,2174,47->72,144.1659,144.25218
