,Timestep,Line,Actual,Predicted
0,2161,37->65,-508.15186,-533.47345
1,2161,49->68,-136.33594,-164.61557
2,2161,37->39,-1001.3918,-990.01105
3,2161,47->68,92.32745,6.807209
4,2161,25->47,-417.36182,-348.7514
5,2161,65->68,-851.10376,-970.5954
6,2161,83->25,1328.3319,1424.7308
7,2161,24->25,1791.5282,1576.6663
8,2161,47->73,-214.84499,-239.65369
9,2161,47->72,157.77301,102.10565
10,2161,9->10,1000.0,992.5849
11,2161,55->119,999.99994,1003.86804
12,2161,89->120,1000.0,966.21204
13,2162,37->65,-507.69937,-538.9337
14,2162,49->68,-134.87318,-164.90514
15,2162,37->39,-1001.1552,-1007.8447
16,2162,47->68,97.54527,-1.8533864
17,2162,25->47,-423.46365,-348.17352
18,2162,65->68,-844.29407,-964.1703
19,2162,83->25,1331.6346,1437.2142
20,2162,24->25,1794.145,1581.6522
21,2162,47->73,-201.82129,-242.08075
22,2162,47->72,166.38689,97.57835
23,2162,9->10,1000.0,996.55426
24,2162,55->119,999.99994,1004.32275
25,2162,89->120,1000.0,957.3568
26,2163,37->65,-528.56555,-539.96936
27,2163,49->68,-137.4219,-163.60773
28,2163,37->39,-1049.356,-1014.50775
29,2163,47->68,111.08336,-0.09640512
30,2163,25->47,-437.1951,-350.10135
31,2163,65->68,-870.3186,-955.77997
32,2163,83->25,1359.2704,1427.8534
33,2163,24->25,1826.9016,1577.3248
34,2163,47->73,-188.60857,-237.85233
35,2163,47->72,178.56384,99.78805
36,2163,9->10,1000.0,994.6407
37,2163,55->119,999.99994,1003.6787
38,2163,89->120,1000.0,949.5797
39,2164,37->65,-538.70294,-541.4851
40,2164,49->68,-138.39601,-164.0624
41,2164,37->39,-1065.6531,-1019.9822
42,2164,47->68,131.77129,-2.7848468
43,2164,25->47,-448.59586,-350.87692
44,2164,65->68,-884.3814,-957.78925
45,2164,83->25,1358.8301,1430.6307
46,2164,24->25,1845.4281,1575.566
47,2164,47->73,-176.62137,-239.17471
48,2164,47->72,191.0757,101.01858
49,2164,9->10,1000.0,992.5239
50,2164,55->119,999.99994,1003.0022
51,2164,89->120,1000.0,943.54
52,2165,37->65,-511.65036,-542.23956
53,2165,49->68,-148.623,-164.49054
54,2165,37->39,-975.3282,-1022.1397
55,2165,47->68,72.94064,-3.8643892
56,2165,25->47,-372.8076,-352.0136
57,2165,65->68,-926.8666,-960.8349
58,2165,83->25,1228.936,1432.8397
59,2165,24->25,1680.0599,1573.59
60,2165,47->73,-237.38635,-239.95952
61,2165,47->72,119.366684,103.74353
62,2165,9->10,1000.0,990.195
63,2165,55->119,999.99994,1002.179
64,2165,89->120,1000.0,939.01764
65,2166,37->65,-496.397,-537.4535
